業種,平成28年度（%）,平成29年度（%）
合計,36.0,33.9
建設業,83.2,77.7
製造業,50.9,47.2
上下水道業,0.2,0.2
農業，林業,60.0,59.0
電気・ガス・熱供給業,57.7,78.9
情報通信業,70.6,77.8
運輸業,85.7,76.5
卸売業，小売業,65.6,63.4
不動産業，物品賃貸業,70.2,72.4
学術研究，専門・技術サービス業,61.3,54.5
宿泊業，飲食サービス業,50.0,52.0
生活関連サービス業，娯楽業,25.0,50.0
教育，学習支援業,42.3,46.2
医療，福祉,22.0,21.3
サービス業,60.0,63.2
自動車整備業,66.7,71.4
