年度,区分,集計数(事業所),平均値(kg-CO2/m2),上位25%(kg-CO2/m2)
基準年度,01 事務所,271,139.3,108.0
基準年度,02 情報通信,17,751.0,482.7
基準年度,03 放送局,3,291.1,-
基準年度,04 商業,106,183.4,137.6
基準年度,05 宿泊,25,173.0,155.9
基準年度,06 教育,56,74.5,58.3
基準年度,07 医療,56,178.1,162.3
基準年度,08 文化,12,127.7,95.2
基準年度,09 物流,18,85.2,58.8
基準年度,10 熱供給業,54,38.1,30.2
2014,01 事務所,338,99.4,74.6
2014,02 情報通信,29,722.1,403.1
2014,03 放送局,4,201.0,-
2014,04 商業,136,135.5,98.3
2014,05 宿泊,30,141.8,124.9
2014,06 教育,65,59.8,47.4
2014,07 医療,64,141.1,125.2
2014,08 文化,17,110.4,81.0
2014,09 物流,20,67.9,42.4
2014,10 熱供給業,56,25.9,19.0
2015,01 事務所,324,96.1,73.5
2015,02 情報通信,32,675.3,428.1
2015,03 放送局,4,196.9,-
2015,04 商業,125,133.7,94.5
2015,05 宿泊,29,139.4,123.9
2015,06 教育,67,59.1,45.4
2015,07 医療,65,140.9,126.7
2015,08 文化,18,107.0,83.0
2015,09 物流,19,63.7,40.2
2015,10 熱供給業,55,25.7,18.5
2016,01 事務所,321,90.5,72.2
2016,02 情報通信,40,713.5,448.8
2016,03 放送局,4,168.3,-
2016,04 商業,121,129.8,92.6
2016,05 宿泊,29,141.4,124.2
2016,06 教育,65,59.0,44.7
2016,07 医療,61,139.4,126.6
2016,08 文化,17,103.1,82.0
2016,09 物流,21,69.6,44.7
2016,10 熱供給業,54,25.7,18.6
2017,01 事務所,318,88.9,71.5
2017,02 情報通信,45,652.3,423.9
2017,03 放送局,3,159.3,-
2017,04 商業,121,125.9,90.4
2017,05 宿泊,29,138.7,123.2
2017,06 教育,65,59.4,45.6
2017,07 医療,66,140.0,125.5
2017,08 文化,17,100.3,80.4
2017,09 物流,21,65.6,37.1
2017,10 熱供給業,53,24.5,18.3
2018,01 事務所,317,89.6,72.0
2018,02 情報通信,43,736.3,450.6
2018,03 放送局,3,153.0,-
2018,04 商業,122,124.3,90.4
2018,05 宿泊,28,136.2,119.6
2018,06 教育,65,58.5,44.4
2018,07 医療,62,136.2,123.5
2018,08 文化,17,102.2,79.5
2018,09 物流,20,78.1,42.2
2018,10 熱供給業,58,24.9,18.8
