測定日,測定位置（高さ(m)）,Ａ１（μSv/h）,Ａ２（μSv/h）,Ａ３（μSv/h）,Ａ４（μSv/h）,Ａ５（μSv/h）,Ａ６（μSv/h）,Ａ７（μSv/h）,Ａ８（μSv/h）
平成27年 6月24日,  1.0,0.05,0.05,0.04,0.03,0.04,0.05,0.04,0.03
平成27年 6月17日,  1.0,0.05,0.04,0.04,0.04,0.04,0.05,0.04,0.04
平成27年 6月10日,  1.0,0.05,0.03,0.05,0.04,0.04,0.05,0.05,0.05
平成27年 6月3日,  1.0,0.07,0.05,0.05,0.05,0.06,0.06,0.05,0.06
平成27年 5月27日,  1.0,0.05,0.04,0.04,0.04,0.04,0.06,0.05,0.05
平成27年 5月20日,  1.0,0.06,0.04,0.05,0.04,0.05,0.06,0.04,0.05
平成27年 5月14日,  1.0,0.05,0.04,0.05,0.04,0.04,0.05,0.04,0.04
平成27年 5月7日,  1.0,0.06,0.03,0.04,0.03,0.04,0.06,0.05,0.05
平成27年 4月28日,  1.0,0.06,0.04,0.04,0.04,0.04,0.05,0.04,0.04
平成27年 4月22日,  1.0,0.06,0.04,0.04,0.03,0.04,0.05,0.05,0.05
平成27年 4月15日,  1.0,0.05,0.04,0.04,0.04,0.04,0.05,0.04,0.03
平成27年 4月8日,  1.0,0.07,0.05,0.05,0.04,0.04,0.06,0.06,0.05
平成27年 4月1日,  1.0,0.05,0.04,0.04,0.03,0.04,0.05,0.04,0.05
