項目名,毒性等価係数,定量下限値（pg/g）,検出下限値（pg/g）,千代田区日比谷公園（pg/g）,中央区日本橋浜町2（pg/g）,港区芝公園4（pg/g）,文京区千駄木3（pg/g）,台東区清川1（pg/g）,墨田区横綱2（pg/g）,渋谷区本町2（pg/g）,荒川区東日暮里3（pg/g）,江戸川区北葛西5（pg/g）
"1,3,6,8-TeCDD",0,1.0,0.3,6.9,5.5,3.5,3.8,2.9,41,1.2,1.1,N.D.
"1,3,7,9-TeCDD",0,1.0,0.3,3.4,2.8,1.6,1.4,1.4,20,0.4,0.4,N.D.
"2,3,7,8-TeCDD",1,1.0,0.3,N.D.,N.D.,N.D.,N.D.,N.D.,0.7,N.D.,N.D.,N.D.
"1,2,3,7,8-PeCDD",1,1.0,0.3,0.7,0.7,0.7,0.3,N.D.,3.1,N.D.,N.D.,N.D.
"1,2,3,4,7,8-HxCDD",0.1,2.0,0.6,0.7,0.9,1.0,N.D.,N.D.,2.9,N.D.,N.D.,N.D.
"1,2,3,6,7,8-HxCDD",0.1,2.0,0.6,1.4,2.2,3.1,N.D.,N.D.,4.8,N.D.,N.D.,N.D.
"1,2,3,7,8,9-HxCDD",0.1,2.0,0.6,1.7,2.0,2.9,0.7,N.D.,4.8,N.D.,N.D.,N.D.
"1,2,3,4,6,7,8-HpCDD",0.01,2.0,0.6,15,41,78,4.4,3.3,68,2.2,1.8,N.D.
OCDD,0.0003,5,2,240,1000,1600,35,31,1300,20,51,24
"1,2,7,8-TeCDF",0,1.0,0.3,1.6,0.8,0.4,0.7,0.9,9.4,N.D.,N.D.,N.D.
"2,3,7,8-TeCDF",0.1,1.0,0.3,2.0,0.6,0.3,0.6,1.1,8.0,N.D.,N.D.,N.D.
"1,2,3,7,8-PeCDF",0.03,1.0,0.3,2.0,0.6,0.3,0.6,0.7,8.8,N.D.,N.D.,N.D.
"2,3,4,7,8-PeCDF",0.3,1.0,0.3,1.9,0.8,0.5,0.5,0.6,7.5,N.D.,N.D.,N.D.
"1,2,3,4,7,8-HxCDF",0.1,2.0,0.6,3.2,2.2,1.7,0.8,0.8,13,N.D.,N.D.,N.D.
"1,2,3,6,7,8-HxCDF",0.1,2.0,0.6,3.0,1.8,1.4,0.6,0.6,9.8,N.D.,N.D.,N.D.
"1,2,3,7,8,9-HxCDF",0.1,2.0,0.6,N.D.,N.D.,N.D.,N.D.,N.D.,0.9,N.D.,N.D.,N.D.
"2,3,4,6,7,8-HxCDF",0.1,2.0,0.6,2.9,1.3,1.2,0.8,0.6,12,N.D.,N.D.,N.D.
"1,2,3,4,6,7,8-HpCDF",0.01,2.0,0.6,11,21,42,3.3,2.2,38,1.2,N.D.,N.D.
"1,2,3,4,7,8,9-HpCDF",0.01,2.0,0.6,1.2,2.5,2.5,N.D.,N.D.,5.5,N.D.,N.D.,N.D.
OCDF,0.0003,5,2,11,40,110,3,1,39,N.D.,N.D.,N.D.
"3,4,4',5-TeCB(#81)",0.0003,2.0,0.6,1.4,0.7,0.6,N.D.,0.6,3.7,N.D.,N.D.,N.D.
"3,3',4,4'-TeCB(#77)",0.0001,2.0,0.6,17,14,15,6.6,16,64,1.8,6.1,N.D.
"3,3',4,4',5-PeCB(#126)",0.1,2.0,0.6,3.7,1.9,2.2,1.5,4.0,16,N.D.,N.D.,N.D.
"3,3',4,4',5,5'-HxCB(#169)",0.03,2.0,0.6,0.7,N.D.,N.D.,0.6,N.D.,3.1,N.D.,N.D.,N.D.
"2',3,4,4',5-PeCB(#123)",0.00003,2.0,0.6,13,4.6,3.7,1.5,4.0,20,N.D.,N.D.,N.D.
"2,3',4,4',5-PeCB(#118)",0.00003,2.0,0.6,310,160,110,44,110,510,13,18,3.2
"2,3,3',4,4'-PeCB(#105)",0.00003,2.0,0.6,170,77,64,23,67,280,7.0,10,1.3
"2,3,4,4',5-PeCB(#114)",0.00003,2.0,0.6,8.8,4.4,3.1,1.0,2.8,13,N.D.,0.6,N.D.
"2,3',4,4',5,5'-HxCB(#167)",0.00003,2.0,0.6,45,11,8.5,4.9,13,51,1.6,3.4,N.D.
"2,3,3',4,4',5-HxCB(#156)",0.00003,2.0,0.6,100,29,21,12,30,120,4.0,8.5,N.D.
"2,3,3',4,4',5'-HxCB(#157)",0.00003,2.0,0.6,33,8.6,6.5,4.4,9.5,36,1.3,2.9,N.D.
"2,3,3',4,4',5,5'-HpCB(#189)",0.00003,2.0,0.6,6.9,1.6,1.4,1.1,1.8,12,N.D.,1.5,N.D.
TeCDDs ,,,,16,11,6.9,6.8,6.0,83,2.3,2.1,0.084
PeCDDs ,,,,16,7.1,7.5,4.7,4.7,70,1.9,1.3,0.13
HxCDDs ,,,,23,20,22,8.7,5.9,78,3.6,3.1,0.18
HpCDDs,,,,33,81,150,8.7,6.8,140,4.2,3.7,0.86
OCDD,,,,240,1000,1600,35,31,1300,20,51,24
Total（PCDDs）,,,,320,1100,1700,64,54,1700,32,61,26
TeCDFs,,,,41,16,8.1,12,13,170,5.3,2.8,0.25
