業種,再生利用量（千t）,構成比（％）
建設業,8385,90.6
製造業,549,5.9
"卸売業,小売業",85,0.9
"不動産業,物品賃貸業",42,0.5
運輸業,39,0.4
上下水道業,25,0.3
その他,127,1.4
合計,9252,100.0
