年度（平成）,再生利用量（千t）,減量化量（千t）,最終処分量（千t）,合計（千t）,再生利用率（%）,減量化率（%）,最終処分率（%）
28,15,0,11,26,57.7,0.0,42.3
27,17,0,20,37,45.9,0.0,54.1
