年度,再生利用率（%）,減量化率（%）,最終処分率（%）
昭和57,0.3,93.7,6.0
昭和62,0.2,96.7,3.1
平成4　,0.4,96.8,2.8
平成10,0.5,97.6,1.9
平成15,0.4,99.3,0.3
平成16,0.5,99.2,0.2
平成17,0.5,98.8,0.7
平成18,0.6,99.2,0.2
平成19,0.6,99.2,0.2
平成20,0.3,99.4,0.2
平成21,1.0,98.8,0.2
平成22,2.3,97.5,0.1
平成23,0.3,99.1,0.6
平成24,0.3,98.9,0.8
平成25,0.1,99.3,0.7
平成26,0.2,99.5,0.4
平成27,0.1,99.5,0.4
平成28,0.2,99.6,0.2
