一連番号,測定地点の住所,緯度,経度,座標系,道路名,環境基準類型等,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離(m),地上からの高さ(m),等価騒音ﾚﾍﾞﾙ(Leq)／昼間(dB),等価騒音ﾚﾍﾞﾙ(Leq)／夜間(dB)
2,千代田区平河町2-5-2,35.680115,139.739044,JGD2011,区道188号,b,2006-07-25,2006-07-27,6,2,1.9,1.5,63,60
11,千代田区富士見1-4-4,35.698582,139.746185,JGD2011,区道270号,c,2006-10-24,2006-10-26,6,1,2.7,1.5,65,62
15,千代田区岩本町2-8-10,35.692696,139.776596,JGD2011,区道792号,c,2006-10-24,2006-10-26,6,5,3.8,1.5,69,68
58,新宿区納戸町36,35.696926,139.733063,JGD2011,区道34-191,a,2006-07-04,2006-07-06,6,1,0.0,1.2,67,60
156,大田区田園調布1-10-1,35.586781,139.671829,JGD2011,東京丸子横浜線環8通り,b,2006-12-04,2006-12-07,6,4,4.2,2.2,72,70
162,大田区南千束1-12-3,35.602612,139.695297,JGD2011,東京丸子横浜線環8通り,c,2006-10-30,2006-11-02,6,5,4.2,2.7,71,69
172,世田谷区上北沢2-1,35.669216,139.617523,JGD2011,,a,2007-01-24,2007-01-25,6,2,2.4,1.2,67,62
196,渋谷区大山町36-10,35.668617,139.675949,JGD2011,赤坂杉並線,b,2006-11-16,2006-11-17,6,4,3.0,2.0,71,71
218,中野区弥生町2-41-2,35.691360,139.671951,JGD2011,補助63号,c,2006-12-06,2006-12-07,6,2,2.1,1.2,68,65
223,杉並区宮前3-27,35.696415,139.609192,JGD2011,区道2132号（神明通り）,a,2006-06-20,2006-06-23,6,1,1.0,1.4,68,63
224,杉並区西荻北2-32,35.706882,139.605515,JGD2011,区道2103-1,a,2006-06-27,2006-06-30,6,2,2.0,1.4,67,61
225,杉並区高井戸西1-17,35.681786,139.606659,JGD2011,区道2133-1号線,a,2006-06-06,2006-06-09,6,2,1.0,1.4,67,63
277,荒川区東日暮里6-17,35.729103,139.777298,JGD2011,特別区道荒107号,c,2006-11-06,2006-11-10,6,2,3.9,1.7,66,62
278,荒川区東尾久6-35,35.749165,139.772858,JGD2011,特別区道荒111号,c,2006-06-05,2006-06-09,6,2,2.5,1.5,66,62
399,武蔵野市緑町2-2-28,35.717758,139.565857,JGD2011,市道17号線,b,2006-11-13,2006-11-14,6,2,2.0,1.5,69,66
411,三鷹市下連雀2-26-9,35.697388,139.566025,JGD2011,市道6号線,b,2006-07-03,2006-07-07,6,2,2.0,1.0,69,66
424,府中市四谷4-46,35.667736,139.440521,JGD2011,市道四谷通り,a,2006-10-24,2006-10-26,6,2,1.0,1.5,64,57
425,府中市栄町3-7,35.686638,139.472107,JGD2011,市道学園通り,b,2006-12-11,2006-12-12,6,2,3.0,1.5,-,-
433,府中市四谷5-44,35.663307,139.440155,JGD2011,市道多摩川通り,c,2006-10-03,2006-10-06,6,2,5.0,1.5,72,68
445,昭島市朝日町4-23-28,35.708611,139.369812,JGD2011,市道17号線(江戸街道),c,2006-11-07,2006-11-09,6,2,4.5,1.2,65,62
460,町田市木曽町205,35.561333,139.429779,JGD2011,町田市道町田437号線,c,2007-02-05,2007-02-06,6,2,2.4,1.2,72,67
475,小平市津田町3-34-8,35.725952,139.470139,JGD2011,市道第B-20号,a,2006-11-30,2006-12-01,6,2,2.0,1.2,69,64
488,東村山市久米川町3-30-5,35.761127,139.479584,JGD2011,市道第373号線1,a,2006-10-30,2006-10-31,6,2,4.0,1.2,64,59
491,東村山市富士見町1-2-29,35.744614,139.456924,JGD2011,補助道第1号線,c,2006-11-29,2006-11-30,6,2,2.1,1.2,66,63
493,国分寺市日吉町1-36,35.702072,139.456726,JGD2011,国分寺市道幹9号線,a,2006-12-19,2006-12-20,6,2,3.4,1.2,66,61
494,国分寺市西町1-5-8,35.703697,139.437271,JGD2011,国分寺市道幹11号線,a,2006-12-19,2006-12-20,6,2,5.2,1.2,66,60
495,国分寺市日吉町1-30,35.703468,139.459076,JGD2011,国分寺市道幹7号線,a,2006-12-19,2006-12-20,6,2,2.5,1.2,65,61
501,国立市谷保6256-8,35.681122,139.431946,JGD2011,市道南26号線,b,2007-01-18,2007-01-18,6,2,1.0,1.2,69,63
560,西東京市南町3-18-14,35.722900,139.542709,JGD2011,市道41号線,b,2006-06-06,2006-06-07,6,2,5.0,1.5,64,63
