種類,減量化量（千t）,構成比（％）
建設汚泥,1774,66.3
その他汚泥,496,18.5
ガラス・陶磁器くず,82,3.1
廃プラスチック,76,2.8
がれき類,63,2.4
木くず,47,1.8
廃油,14,0.5
その他,123,4.6
合　計,2675,100.0
