項目名,,試料における定量下限,試料における検出下限,毒性等価係数,単位  ,1江戸川／金町取水点,2旧江戸川／浦安橋,3中川／平井小橋,4新中川／小岩大橋,5新川／新川橋,6隅田川／小台橋,6隅田川／小台橋／二重測定,7隅田川／両国橋,8新河岸川／志茂橋,9白子川／落合橋／,10石神井川／豊石橋,11神田川／柳橋,12日本橋川／西河岸橋,13横十間川／天神橋,13横十間川／天神橋／二重測定,14大横川／福寿橋,15北十間川／京成橋,16堅川／二之橋,17小名木川／進開橋,18旧中川／中平井橋,19古川／金杉橋,20目黒川／太鼓橋,21立会川／立会川橋,22内川／富士見橋,23呑川／夫婦橋,27谷地川／下田橋下,31大栗川／向ノ岡大橋,32野川／天神森橋,33恩田川／都橋,34境川／鶴間一号橋,34境川／鶴間一号橋／二重測定,35黒沢川／落合橋,36空堀川／梅坂橋,37黒目川／神宝大橋,37黒目川／神宝大橋／二重測定
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","2,3,7,8-TeCDD",0.10,0.03,1,pg/L,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,3,6,8-TeCDD",0.10,0.03,-,pg/L,9.4,12,32,39,6.2,3.7,3.6,8.8,5.8,3.2,1.2,1.4,0.86,1.5,1.4,4.1,3.8,4.6,1.7,1.6,0.26,0.32,0.27,0.68,0.24,0.69,0.39,0.20,0.26,0.42,0.40,0.28,0.31,0.49,0.49
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,3,7,9-TeCDD",0.10,0.03,-,pg/L,3.3,4.3,11,14,2.2,1.5,1.5,3.4,2.1,1.3,0.44,0.55,0.30,0.63,0.57,1.5,1.6,1.7,0.72,0.61,0.11,0.12,(0.09),0.29,(0.09),0.24,0.13,(0.08),(0.10),0.14,0.13,0.12,0.15,0.24,0.25
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",TeCDDs,-,-,-,pg/L,14,17,45,55,9.4,6.7,6.7,14,10,5.6,2.2,5.7,2.7,3.2,3.0,7.0,6.5,7.6,2.9,2.8,5.2,4.0,1.1,2.7,11,1.2,0.93,0.48,0.78,1.3,1.2,0.72,1.2,0.86,0.85
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,7,8-PeCDD",0.10,0.03,1,pg/L,ND,(0.05),(0.07),(0.10),ND,ND,ND,ND,(0.06),(0.04),ND,ND,ND,ND,ND,ND,(0.05),ND,ND,ND,ND,ND,ND,(0.05),ND,ND,ND,ND,ND,ND,ND,ND,ND,(0.03),ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,7-PeCDD",0.10,0.03,-,pg/L,(0.06),(0.08),0.12,0.12,(0.06),(0.06),(0.05),(0.10),(0.06),(0.07),(0.03),ND,ND,(0.06),(0.05),(0.03),0.12,ND,(0.04),0.12,ND,ND,ND,(0.07),ND,ND,ND,ND,ND,ND,ND,ND,ND,(0.04),(0.03)
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",PeCDDs,-,-,-,pg/L,1.8,2.5,5.8,7.0,1.3,0.99,0.97,2.1,1.5,1.1,0.47,0.51,0.40,0.53,0.50,0.76,1.5,0.86,0.51,0.71,0.13,0.35,0.15,0.84,0.21,0.23,0.18,0.13,0.14,0.18,0.16,(0.06),0.16,0.32,0.35
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,7,8-HxCDD",0.20,0.06,0.1,pg/L,ND,(0.08),(0.13),(0.20),ND,ND,ND,(0.08),ND,ND,ND,ND,ND,ND,ND,ND,(0.09),ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,6,7,8-HxCDD",0.20,0.06,0.1,pg/L,(0.16),(0.13),0.41,0.43,(0.10),(0.08),(0.08),(0.19),(0.10),(0.09),ND,(0.11),ND,(0.09),(0.12),ND,0.38,(0.07),(0.10),(0.11),ND,ND,ND,(0.06),ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,7,8,9-HxCDD",0.20,0.06,0.1,pg/L,(0.10),(0.15),0.33,0.37,(0.10),ND,(0.07),(0.11),(0.09),(0.10),ND,ND,ND,(0.09),(0.10),ND,0.23,ND,(0.07),(0.08),ND,ND,ND,(0.10),ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",HxCDDs,-,-,-,pg/L,1.4,1.8,4.1,4.3,1.3,0.97,1.1,1.9,1.3,1.2,0.62,0.60,0.51,1.1,1.1,0.71,3.4,0.71,1.1,1.7,(0.11),0.37,(0.16),1.1,(0.13),(0.14),0.22,(0.17),(0.11),(0.11),(0.19),(0.10),0.24,0.54,0.52
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,6,7,8-HpCDD",0.20,0.06,0.01,pg/L,2.6,3.8,8.5,11,2.4,1.7,1.8,3.9,1.8,1.2,0.59,4.7,0.52,2.3,2.2,1.5,8.2,1.6,1.9,3.1,(0.16),0.25,(0.17),1.0,(0.18),0.29,0.28,(0.14),(0.18),0.23,0.31,0.26,0.24,0.48,0.44
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",HpCDDs,-,-,-,pg/L,5.1,7.8,17,22,5.6,3.5,3.6,7.8,3.6,2.5,1.2,7.2,1.1,4.4,4.3,3.0,15,3.3,3.8,6.1,0.40,0.64,0.29,2.2,0.36,0.61,0.55,0.29,0.34,0.50,0.69,0.54,0.49,0.95,0.90
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",OCDD,0.50,0.20,0.0003,pg/L,40,60,150,190,39,21,23,59,24,15,6.7,130,6.5,21,21,23,82,25,18,30,2.3,3.2,0.9,8.9,1.1,3.8,3.4,1.1,1.3,2.4,3.3,5.1,1.5,4.3,4.1
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",TotalPCDDs,-,-,-,pg/L,62,89,220,280,57,33,35,85,40,25,11,140,11,30,30,34,110,37,26,41,8.1,8.6,2.6,16,13,6,5.3,2.2,2.7,4.5,5.5,6.5,3.6,7,6.7
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,7,8-TeCDF",0.10,0.03,0.1,pg/L,(0.05),(0.04),(0.10),0.10,(0.06),0.12,0.13,0.18,(0.06),(0.06),0.24,(0.06),(0.04),0.28,0.32,(0.06),0.51,(0.06),(0.09),0.17,ND,ND,0.14,0.18,ND,ND,ND,ND,ND,ND,(0.04),ND,ND,(0.03),(0.03)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,3,6,8-TeCDF",0.10,0.03,-,pg/L,(0.04),(0.05),0.23,0.14,(0.04),0.10,0.11,0.20,(0.10),(0.08),(0.04),(0.08),(0.05),0.12,0.10,(0.08),0.43,(0.08),0.12,0.26,(0.03),(0.05),(0.04),(0.08),(0.06),ND,ND,ND,(0.04),ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,7,8-TeCDF",0.10,0.03,-,pg/L,(0.06),(0.06),0.11,(0.10),(0.05),0.13,0.12,0.17,(0.08),(0.07),0.17,(0.05),ND,0.26,0.24,(0.04),0.42,(0.05),(0.08),0.14,ND,ND,(0.08),0.14,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,(0.04)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",TeCDFs,-,-,-,pg/L,1.1,1.3,3.7,3.6,0.84,1.8,1.7,3.0,1.9,1.8,1.3,0.95,0.67,2.5,2.6,0.93,5.0,1.0,1.2,2.6,0.39,0.46,2.5,3.5,0.94,(0.05),ND,0.15,0.38,0.17,0.25,ND,(0.05),0.24,0.28
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,7,8-PeCDF",0.10,0.03,0.03,pg/L,(0.07),(0.08),0.12,0.14,(0.06),0.12,0.12,0.21,(0.09),0.12,0.20,(0.07),(0.04),0.21,0.16,(0.05),0.36,(0.06),(0.09),(0.09),ND,(0.04),(0.05),0.15,ND,ND,(0.03),(0.05),ND,(0.03),(0.03),ND,(0.04),(0.05),(0.04)
