レンジ,基準,原単位(kg-CO2/m2)範囲,事業所数,平均面積(m2),平均原単位(kg-CO2/m2)
A4,0.55以下,40.0以下,104,1645,72.6
A3+,0.55超-0.60以下,40.0超-43.6以下,26,1345,72.6
A3,0.60超-0.65以下,43.6超-47.2以下,20,3192,72.6
A3-,0.65超-0.70以下,47.2超-50.9以下,18,1976,72.6
A2+,0.70超-0.75以下,50.9超-54.5以下,22,1602,72.6
A2,0.75超-0.80以下,54.5超-58.1以下,13,1419,72.6
A2-,0.80超-0.85以下,58.1超-61.8以下,8,1629,72.6
A1+,0.85超-0.90以下,61.8超-65.4以下,10,3328,72.6
A1,0.90超-0.95以下,65.4超-69.0以下,13,1419,72.6
A1-,0.95超-1.00以下,69.0超-72.6以下,9,2189,72.6
B2+,1.00超-1.05以下,72.6超-76.3以下,13,2145,72.6
B2,1.05超-1.10以下,76.3超-79.9以下,12,3762,72.6
B2-,1.10超-1.15以下,79.9超-83.5以下,10,3034,72.6
B1,1.15超-1.50以下,83.5超-108.9以下,58,2395,72.6
C,1.50超,108.9超,86,3467,72.6
