年度,再生利用量（千t）,減量化量（千t）,最終処分量（千t）,排出量（千t）
昭和57,1455,1392,2140,4987
昭和62,2642,654,3680,6976
平成4　,3189,707,5269,9165
平成10,4853,2165,3036,10054
平成15,6146,1584,1023,8753
平成16,5449,2779,1232,9459
平成17,6184,1147,802,8133
平成18,7140,1172,998,9310
平成19,6807,1377,845,9029
平成20,5221,1214,604,7039
平成21,5693,1232,554,7479
平成22,5604,1198,507,7309
平成23,5969,1127,590,7686
平成24,6493,1243,436,8172
平成25,7803,1053,499,9355
平成26,8397,1085,486,9968
平成27,8735,906,401,10042
平成28,8736,1375,395,10506
