種類,,,,発生量（千t）,有償物量（千t）,排出量（千t）,自己中間処理量（千t）,自己中間処理量／自己中間処理後量（千t）,自己中間処理量／自己中間処理後量／自己中間処理後再生利用量（千t）,自己中間処理量／自己中間処理後量／自己中間処理後自己最終処分量（千t）,自己中間処理量／自己中間処理後量／自己中間処理後委託処理量（千t）,自己中間処理量／自己中間処理後量／自己中間処理後委託直接最終処分量（千t）,自己減量化量（千t）,自己未処理量（千t）,自己未処理量／自己未処理再生利用量（千t）,自己未処理量／自己未処理自己最終処分量（千t）,自己未処理量／自己未処理委託処理量（千t）,自己未処理量／自己未処理委託直接最終処分量（千t）,委託処理量（千t）,委託処理量／委託中間処理量（千t）,委託処理量／委託中間処理量／委託中間処理後量（千t）,委託処理量／委託中間処理量／委託中間処理後量／委託中間処理後再生利用量（千t）,委託処理量／委託中間処理量／委託中間処理後量／委託中間処理後最終処分量（千t）,委託処理量／委託直接最終処分量（千t）,委託減量化量（千t）,委託最終処分量（千t）,再生利用量（千t）,減量化量（千t）,最終処分量（千t）
合計,,,,1201,39,1162,426,80,8,0,72,0,346,736,1,0,735,0,807,807,630,540,90,0,177,90,549,523,90
燃え殻,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
汚泥,,,,510,1,509,349,29,0,0,29,0,320,160,1,0,159,0,188,188,89,76,13,0,99,13,77,419,13
汚泥,上水汚泥,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
汚泥,下水汚泥,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
汚泥,建設汚泥,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
汚泥,その他の汚泥,,,510,1,509,349,29,0,0,29,0,320,160,1,0,159,0,188,188,89,76,13,0,99,13,77,419,13
廃油,,,,7,0,7,0,0,0,0,0,0,0,7,0,0,7,0,7,7,3,3,0,0,4,0,3,4,0
廃酸,,,,5,0,5,1,0,0,0,0,0,1,4,0,0,4,0,4,4,2,1,1,0,2,1,1,3,1
廃アルカリ,,,,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0
廃プラスチック類,,,,26,2,24,11,1,0,0,1,0,10,13,0,0,13,0,14,14,14,13,1,0,0,1,13,10,1
ゴムくず,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
金属くず,,,,23,16,7,0,0,0,0,0,0,0,7,0,0,7,0,7,7,7,7,0,0,0,0,7,0,0
ガラス・陶磁器くず,,,,540,2,538,64,50,8,0,42,0,14,474,0,0,474,0,516,516,463,390,73,0,53,73,398,67,73
鉱さい,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がれき類,,,,14,0,14,0,0,0,0,0,0,0,14,0,0,14,0,14,14,14,14,0,0,0,0,14,0,0
がれき類,コンクリート塊,,,14,0,14,0,0,0,0,0,0,0,14,0,0,14,0,14,14,14,14,0,0,0,0,14,0,0
がれき類,アスファルト･コンクリート塊,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がれき類,その他のがれき類,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
石綿含有産業廃棄物,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ばいじん,,,,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,1
紙くず,,,,18,10,8,0,0,0,0,0,0,0,8,0,0,8,0,8,8,6,6,0,0,2,0,6,2,0
木くず,,,,3,0,3,0,0,0,0,0,0,0,3,0,0,3,0,3,3,3,3,0,0,0,0,3,0,0
繊維くず,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
動植物性残さ,,,,33,8,25,1,0,0,0,0,0,1,24,0,0,24,0,24,24,16,16,0,0,8,0,16,9,0
動物系固形不要物,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
動物のふん尿,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
動物の死体,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
政令13号物,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
混合廃棄物,,,,2,0,2,0,0,0,0,0,0,0,2,0,0,2,0,2,2,2,1,1,0,0,1,1,0,1
その他,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,,,,18,0,18,0,0,0,0,0,0,0,18,0,0,18,0,18,18,10,10,0,0,8,0,10,8,0
特別管理産業廃棄物,廃油,,,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0
特別管理産業廃棄物,廃酸,,,13,0,13,0,0,0,0,0,0,0,13,0,0,13,0,13,13,9,9,0,0,4,0,9,4,0
特別管理産業廃棄物,廃アルカリ,,,2,0,2,0,0,0,0,0,0,0,2,0,0,2,0,2,2,1,1,0,0,1,0,1,1,0
特別管理産業廃棄物,感染性廃棄物,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,,,2,0,2,0,0,0,0,0,0,0,2,0,0,2,0,2,2,0,0,0,0,2,0,0,2,0
特別管理産業廃棄物,特定有害廃棄物,廃ＰＣＢ等,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,廃石綿等,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,その他,,2,0,2,0,0,0,0,0,0,0,2,0,0,2,0,2,2,0,0,0,0,2,0,0,2,0
特別管理産業廃棄物,特定有害廃棄物,その他,指定下水道汚泥,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,その他,鉱さい,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,その他,燃え殻,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,その他,ばいじん,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,その他,廃油,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,その他,汚泥,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0
特別管理産業廃棄物,特定有害廃棄物,その他,廃酸,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,その他,廃アルカリ,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0
特別管理産業廃棄物,特定有害廃棄物,その他,廃水銀等,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
