,地点番号,調査地点,,平成27年度(TEQ)／水質(pg/L)／春季,平成27年度(TEQ)／水質(pg/L)／夏季,平成27年度(TEQ)／水質(pg/L)／秋季,平成27年度(TEQ)／水質(pg/L)／冬季,平成27年度(TEQ)／水質(pg/L)／年度平均,平成27年度(TEQ)／底質 (pg/g),平成26年度(TEQ)／水質(pg/L)／春季,平成26年度(TEQ)／水質(pg/L)／夏季,平成26年度(TEQ)／水質(pg/L)／秋季,平成26年度(TEQ)／水質(pg/L)／冬季,平成26年度(TEQ)／水質(pg/L)／年度平均,平成26年度(TEQ)／底質 (pg/g)
河川（東京都測定）,1,江戸川,金町取水点,0.092,-,0.096,-,0.094,0.25,0.21,-,0.21,-,0.21,0.25
河川（東京都測定）,2,旧江戸川,浦安橋,0.19,-,0.091,-,0.14,0.3,0.69,-,0.3,-,0.5,0.35
河川（東京都測定）,3,中川,平井小橋,0.68,0.65,0.75,0.15,0.56,11,0.86,0.52,0.71,0.63,0.68,1.2
河川（東京都測定）,4,新中川,小岩大橋,0.56,0.59,0.63,0.13,0.48,5.8,1.3,0.41,0.55,0.64,0.73,3.7
河川（東京都測定）,5,新川,新川橋,0.095,-,0.1,-,0.1,20,0.41,-,0.23,-,0.32,21
河川（東京都測定）,6,隅田川,小台橋,0.18,0.21,0.97,0.62,0.5,5.4,0.85,0.44,1.3,0.17,0.69,7.9
河川（東京都測定）,7,隅田川,両国橋,0.33,-,0.11,-,0.22,2.5,0.081,-,0.21,-,0.15,17
河川（東京都測定）,8,新河岸川,志茂橋,0.1,0.097,0.62,0.17,0.25,1.2,0.92,0.27,0.29,0.52,0.5,0.52
河川（東京都測定）,9,白子川,落合橋,0.14,-,0.77,-,0.46,2.3,0.67,-,0.13,-,0.4,2.6
河川（東京都測定）,10,石神井川,豊石橋,0.13,0.13,0.076,0.22,0.14,3.3,0.28,0.23,0.29,0.17,0.24,0.5
河川（東京都測定）,11,神田川,柳橋,0.15,-,0.065,-,0.11,2.9,0.07,-,0.14,-,0.11,3.4
河川（東京都測定）,12,日本橋川,西河岸橋,0.087,-,0.072,-,0.08,2.2,0.066,-,0.076,-,0.071,4.8
河川（東京都測定）,13,横十間川,天神橋,0.16,0.93,0.47,0.29,0.46,120,0.28,0.27,0.4,0.28,0.31,210
河川（東京都測定）,14,大横川,福寿橋,0.16,-,0.11,-,0.14,44,0.093,-,0.12,-,0.11,31
河川（東京都測定）,15,北十間川,京成橋,0.15,0.23,0.4,0.11,0.22,69,0.11,0.35,0.4,0.35,0.3,64
河川（東京都測定）,16,竪川,二之橋,0.1,-,0.1,-,0.1,99,0.096,-,0.11,-,0.1,140
河川（東京都測定）,17,小名木川,進開橋,0.09,-,0.12,-,0.11,25,0.41,-,0.33,-,0.37,41
河川（東京都測定）,18,旧中川,中平井橋,0.17,0.19,0.29,0.13,0.2,23,0.33,0.24,0.18,0.3,0.26,44
河川（東京都測定）,19,古川,金杉橋,0.082,-,0.079,-,0.081,2.1,0.3,-,0.078,-,0.19,2.3
河川（東京都測定）,20,目黒川,太鼓橋,0.064,-,0.064,-,0.064,1.2,0.066,-,0.091,-,0.079,0.79
河川（東京都測定）,21,立会川,立会川橋,0.084,-,0.064,-,0.074,0.45,0.084,-,0.13,-,0.11,5.4
河川（東京都測定）,22,内川,富士見橋,0.33,-,0.16,-,0.25,18,0.2,-,0.48,-,0.34,24
河川（東京都測定）,23,呑川,夫婦橋,0.075,-,0.065,-,0.07,1.2,0.078,-,0.085,-,0.082,0.52
河川（東京都測定）,24,日原川,氷川小橋,-,-,0.062,-,0.062,0.21,-,-,-,-,-,-
河川（東京都測定）,25,平井川,多西橋,0.096,-,0.08,-,0.088,0.64,-,-,-,-,-,-
河川（東京都測定）,26,北秋川,西川橋,-,-,0.062,-,0.062,0.22,-,-,-,-,-,-
河川（東京都測定）,27,大栗川,向ノ岡大橋,0.067,-,0.069,-,0.068,0.93,-,-,-,-,-,-
河川（東京都測定）,28,野川,天神森橋,0.079,-,0.067,-,0.073,1.1,-,-,-,-,-,-
河川（東京都測定）,29,恩田川,都橋,0.065,-,0.064,-,0.065,0.47,-,-,-,-,-,-
河川（東京都測定）,30,境川,鶴間一号橋,0.12,-,0.066,-,0.093,0.36,-,-,-,-,-,-
河川（東京都測定）,31,黒沢川,落合橋,0.068,-,0.069,-,0.069,0.37,-,-,-,-,-,-
