一連番号,測定地点の住所,緯度,経度,座標系,道路名,環境基準類型等,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離(m),地上からの高さ(m),等価騒音ﾚﾍﾞﾙ(Leq)／昼間(dB),等価騒音ﾚﾍﾞﾙ(Leq)／夜間(dB)
294,板橋区小茂根4-9-5,35.746487,139.675751,JGD2011,環状7号線,c,2006-07-12,2006-07-13,4,4,4.0,1.0,73,71
297,板橋区坂下1-5-3,35.779690,139.687164,JGD2011,環状8号線,c,2006-11-15,2006-11-16,4,4,4.0,1.0,68,64
298,板橋区稲荷台22-4,35.762180,139.710297,JGD2011,環状7号線,c,2006-11-20,2006-11-21,4,4,3.0,1.0,74,74
299,板橋区熊野町11-2,35.741783,139.706451,JGD2011,環状6号線,c,2006-08-31,2006-09-01,4,9,4.0,1.0,71,68
305,足立区南花畑3-30,35.793495,139.824585,JGD2011,都道466号内匠橋花畑線,a,2006-11-21,2006-11-22,4,2,0.6,1.2,67,62
306,足立区南花畑3-30,35.793495,139.824585,JGD2011,内匠橋花畑線,A,2006-11-21,2006-11-22,4,2,0.5,1.2,67,62
307,足立区綾瀬3-12-15,35.763535,139.828522,JGD2011,主地道314号言問大谷田線,b,2006-11-07,2006-11-08,4,2,6.0,1.5,66,61
308,足立区綾瀬1-11,35.756969,139.821121,JGD2011,主地道308号千住小松川葛西沖線,b,2006-11-07,2006-11-08,4,2,3.0,1.5,70,67
311,足立区新田2-4,35.773075,139.740738,JGD2011,主地道318号,c,2006-12-06,2006-12-07,4,4,3.0,1.5,71,68
312,足立区大谷田4-1,35.777340,139.837265,JGD2011,主地道318号,c,2006-12-04,2006-12-05,4,4,4.0,1.5,74,72
316,足立区西新井本町2-3-1,35.777035,139.775955,JGD2011,主地道307号王子金町江戸川線,c,2006-11-21,2006-11-22,4,2,1.0,1.5,69,65
317,足立区本木南町2,35.760323,139.781052,JGD2011,主地道308号千住小松川葛西沖線,c,2007-01-10,2007-01-11,4,4,8.0,1.5,72,68
319,足立区西綾瀬3-11,35.763920,139.816254,JGD2011,都道467号千住新宿町線,c,2006-11-21,2006-11-22,4,2,3.5,1.2,67,64
320,足立区保木間5-39,35.808292,139.802338,JGD2011,主要都道49号足立越谷線,c,2006-11-21,2006-11-22,4,4,4.7,1.2,69,67
321,足立区中川5-1,35.774284,139.848175,JGD2011,主要都道318号,c,2006-11-21,2006-11-22,4,4,5.1,1.2,73,73
323,足立区西綾瀬3-11,35.763920,139.816254,JGD2011,千住新宿町線,C,2006-11-21,2006-11-22,4,2,3.5,1.2,67,64
324,足立区保木間5-38,35.807678,139.802094,JGD2011,足立越谷線,C,2006-11-21,2006-11-22,4,4,4.7,1.2,69,67
325,足立区中川5-1,35.774284,139.848175,JGD2011,環状7号線,C,2006-11-21,2006-11-22,4,4,5.1,1.2,73,73
326,葛飾区水元3-20,35.782383,139.865417,JGD2011,王子金町江戸川線,b,2006-09-06,2006-09-13,4,2,5.0,1.2,65,61
327,葛飾区西水元6-16,35.788822,139.856949,JGD2011,王子金町江戸川線,b,2006-07-19,2006-07-26,4,2,1.5,1.2,71,67
329,葛飾区水元5丁目14,35.790455,139.861740,JGD2011,王子金町江戸川線,B,2007-01-24,2007-01-25,4,2,1.6,1.2,65,60
330,葛飾区東金町8-2,35.779060,139.883957,JGD2011,松戸草加線,c,2006-07-19,2006-07-26,4,4,4.9,1.2,68,62
331,葛飾区柴又4-30,35.752903,139.877029,JGD2011,王子金町江戸川線,c,2006-09-06,2006-09-13,4,2,5.0,1.2,66,63
332,葛飾区亀有3-38,35.763786,139.850296,JGD2011,環状7号線,c,2006-07-27,2006-08-03,4,4,4.3,1.2,69,66
333,葛飾区高砂1-2,35.741302,139.863144,JGD2011,環状7号線,c,2006-07-27,2006-08-03,4,5,4.1,2.3,71,69
336,葛飾区堀切6-1,35.752026,139.827789,JGD2011,言問大谷田線,c,2006-09-06,2006-09-13,4,4,10.0,1.6,69,66
337,葛飾区小菅3-6,35.755337,139.824203,JGD2011,千住小松川葛西沖線,c,2006-09-06,2006-09-13,4,2,0.3,1.2,69,62
338,葛飾区小菅2-19,35.750191,139.825821,JGD2011,千住小松川葛西沖線,c,2006-08-04,2006-08-11,4,5,4.1,1.2,67,62
