分類,保管量（平成26年3月末）,保管量（平成25年3月末）,使用中の量（平成26年3月末）,使用中の量（平成25年3月末）
高圧トランス（台）,462,739,81,117
リアクトル（台）,103,147,―,50
高圧コンデンサ（台）,7631,9403,729,780
放電コイル（台）,241,298,―,9
PCB 油（L）,25235,49720,―,―
照明用安定器（個）,1240000,1290000,9440,10856
その他小型機器（個）,240000,200000,220,523
感圧複写紙（kg）,76111,77692,―,―
PCB 汚染物（kg）,1091063,877285,―,―
ウェス（kg）,126115,110235,―,―
柱上トランス（台）,8860,10133,19003,21002
柱上トランス油（L）,54682,7830,―,―
微量 PCB 混入高圧トランス（台）,6597,7802,7539,8768
微量 PCB 混入高圧コンデンサ（台）,4112,2776,262,266
微量 PCB 混入油（L）,73763,181506,―,―
