レンジ,基準,原単位(kg-CO2/m2)範囲,事業所数,平均面積(m2),平均原単位(kg-CO2/m2)
A4,0.55以下,31.5以下,13,832,57.1
A3+,0.55超-0.60以下,31.5超-34.3以下,3,956,57.1
A3,0.60超-0.65以下,34.3超-37.2以下,6,1719,57.1
A3-,0.65超-0.70以下,37.2超-40.0以下,9,1637,57.1
A2+,0.70超-0.75以下,40.0超-42.9以下,15,1106,57.1
A2,0.75超-0.80以下,42.9超-45.7以下,12,908,57.1
A2-,0.80超-0.85以下,45.7超-48.6以下,23,898,57.1
A1+,0.85超-0.90以下,48.6超-51.4以下,16,903,57.1
A1,0.90超-0.95以下,51.4超-54.3以下,21,1039,57.1
A1-,0.95超-1.00以下,54.3超-57.1以下,19,833,57.1
B2+,1.00超-1.05以下,57.1超-60.0以下,21,865,57.1
B2,1.05超-1.10以下,60.0超-62.9以下,13,971,57.1
B2-,1.10超-1.15以下,62.9超-65.7以下,7,774,57.1
B1,1.15超-1.50以下,65.7超-85.7以下,43,939,57.1
C,1.50超,85.7超,20,789,57.1
