測定日,測定位置（高さ(m)）,No.1中防外側（μSv/h）,No.2中防外側（μSv/h）,No.3新海面（μSv/h）,No.4新海面（μSv/h）,No.5中防外側（μSv/h）,No.6中防外側（μSv/h）,No.7中防庁舎（μSv/h）
平成27年 6月24日,  0.5,0.07,0.06,0.06,0.06,0.05,0.05,0.03
平成27年 6月24日,  1.0,0.06,0.06,0.05,0.06,0.04,0.05,0.04
平成27年 6月17日,  0.5,0.06,0.05,0.06,0.05,0.04,0.04,0.02
平成27年 6月17日,  1.0,0.07,0.07,0.06,0.05,0.05,0.05,0.03
平成27年 6月10日,  0.5,0.07,0.06,0.05,0.06,0.05,0.04,0.03
平成27年 6月10日,  1.0,0.06,0.06,0.06,0.06,0.05,0.05,0.03
平成27年 6月3日,  0.5,0.08,0.07,0.07,0.06,0.07,0.07,0.03
平成27年 6月3日,  1.0,0.08,0.06,0.07,0.06,0.06,0.06,0.03
平成27年 5月27日,  0.5,0.07,0.06,0.07,0.06,0.05,0.05,0.03
平成27年 5月27日,  1.0,0.07,0.07,0.07,0.06,0.06,0.05,0.03
平成27年 5月20日,  0.5,0.07,0.06,0.06,0.06,0.04,0.05,0.03
平成27年 5月20日,  1.0,0.07,0.07,0.06,0.05,0.04,0.05,0.03
平成27年 5月14日,  0.5,0.06,0.06,0.07,0.06,0.04,0.06,0.03
平成27年 5月14日,  1.0,0.06,0.07,0.08,0.05,0.04,0.05,0.04
平成27年 5月7日,  0.5,0.06,0.06,0.06,0.06,0.05,0.05,0.03
平成27年 5月7日,  1.0,0.07,0.06,0.06,0.06,0.05,0.05,0.03
平成27年 4月28日,  0.5,0.07,0.06,0.06,0.05,0.04,0.05,0.03
平成27年 4月28日,  1.0,0.07,0.06,0.06,0.06,0.05,0.04,0.04
平成27年 4月22日,  0.5,0.06,0.06,0.07,0.05,0.05,0.05,0.03
平成27年 4月22日,  1.0,0.06,0.05,0.06,0.05,0.05,0.05,0.03
平成27年 4月15日,  0.5,0.06,0.06,0.07,0.05,0.05,0.06,0.03
平成27年 4月15日,  1.0,0.07,0.06,0.07,0.05,0.05,0.05,0.03
平成27年 4月8日,  0.5,0.07,0.06,0.07,0.06,0.06,0.07,0.03
平成27年 4月8日,  1.0,0.07,0.08,0.06,0.06,0.06,0.06,0.04
平成27年 4月1日,  0.5,0.07,0.07,0.07,0.06,0.04,0.05,0.03
平成27年 4月1日,  1.0,0.07,0.05,0.06,0.05,0.05,0.05,0.04
