種類,,東京都内／平成28年度／中間処理量（千ｔ）,東京都内／平成28年度／都内処理率（%）,東京都内／平成29年度／中間処理量（千ｔ）,東京都内／平成29年度／都内処理率（%）,東京都外／平成28年度／中間処理量（千ｔ）,東京都外／平成28年度／都外処理率（%）,東京都外／平成29年度／中間処理量（千ｔ）,東京都外／平成29年度／都外処理率（%）
汚泥,,15406,83.8,15509,80.7,2985,16.2,3703,19.3
汚泥,上水,425,100.0,390,100.0,0,0.0,0,0.0
汚泥,下水,14251,100.0,14437,100.0,2,0.0,0,0.0
汚泥,建設,351,11.6,346,9.4,2678,88.4,3340,90.6
汚泥,その他,379,55.4,336,48.1,305,44.6,363,51.9
廃油,,10,58.8,7,33.3,7,41.2,14,66.7
廃酸,,0,0.0,0,0.0,10,100.0,6,100.0
廃アルカリ,,1,20.0,2,33.3,4,80.0,4,66.7
廃プラスチック類,,128,45.7,142,47.0,152,54.3,160,53.0
金属くず,,107,58.8,81,53.3,75,41.2,71,46.7
ガラス・陶磁器くず,,288,39.9,240,31.9,433,60.1,512,68.1
がれき類,,2485,39.1,2477,42.3,3878,60.9,3375,57.7
木くず,,108,33.6,96,28.0,213,66.4,247,72.0
混合廃棄物,,125,44.3,158,53.0,157,55.7,140,47.0
特別管理産業廃棄物,,32,50.8,30,46.2,31,49.2,35,53.8
特別管理産業廃棄物,感染性廃棄物,17,47.2,22,56.4,19,52.8,17,43.6
その他,,79,36.7,65,41.9,136,63.3,90,58.1
合計,,18769,69.9,18807,69.2,8081,30.1,8357,30.8
上下水汚泥除く計,,4094,33.6,3972,32.2,8079,66.4,8357,67.8
