項目名,毒性等価係数,定量下限値（pg/g）,検出下限値（pg/g）,足立清掃工場周辺地区／足立区西伊興4（pg/g）,足立清掃工場周辺地区／足立区花畑4（pg/g）,足立清掃工場周辺地区／足立区竹の塚2（pg/g）,足立清掃工場周辺地区／足立区竹の塚6（pg/g）,足立清掃工場周辺地区／足立区島根4（pg/g）,柳泉園クリーンポート周辺地区／東久留米市下里4（pg/g）,柳泉園クリーンポート周辺地区／東久留米市柳窪1（pg/g）,柳泉園クリーンポート周辺地区／東久留米市滝山5（pg/g）,柳泉園クリーンポート周辺地区／東村山市恩多町1（pg/g）,柳泉園クリーンポート周辺地区／東村山市青葉町1（pg/g）
"1,3,6,8-TeCDD",0,1.0,0.3,5.4,15,17,10,1.8,7.4,21,18,9.5,35
"1,3,7,9-TeCDD",0,1.0,0.3,2.0,8.5,8.5,5.0,0.8,3.2,11,10,5.1,20
"2,3,7,8-TeCDD",1,1.0,0.3,N.D.,0.3,N.D.,N.D.,N.D.,N.D.,0.4,0.4,N.D.,0.6
"1,2,3,7,8-PeCDD",1,1.0,0.3,0.3,2.3,1.2,0.9,N.D.,2.1,3.4,3.5,1.1,5.7
"1,2,3,4,7,8-HxCDD",0.1,2.0,0.6,N.D.,2.1,1.1,0.8,N.D.,3.8,4.7,4.9,1.2,8.0
"1,2,3,6,7,8-HxCDD",0.1,2.0,0.6,0.6,2.7,2.1,1.3,N.D.,10,7.9,8.8,2.7,17
"1,2,3,7,8,9-HxCDD",0.1,2.0,0.6,N.D.,3.0,1.9,1.2,N.D.,9.1,8.0,9.5,3.4,12
"1,2,3,4,6,7,8-HpCDD",0.01,2.0,0.6,6.3,16,18,14,6.2,230,84,87,38,170
OCDD,0.0003,5,2,110,98,150,490,130,7600,290,360,610,670
"1,2,7,8-TeCDF",0,1.0,0.3,0.4,1.8,2.2,23,0.5,0.9,3.0,2.7,0.9,4.7
"2,3,7,8-TeCDF",0.1,1.0,0.3,0.4,1.4,2.1,23,0.5,0.8,1.8,2.3,0.7,3.6
"1,2,3,7,8-PeCDF",0.03,1.0,0.3,0.7,2.2,3.3,39,0.6,1.5,4.1,4.1,1.4,8.8
"2,3,4,7,8-PeCDF",0.3,1.0,0.3,0.6,2.4,2.7,18,0.6,1.7,4.6,4.9,1.7,9.8
"1,2,3,4,7,8-HxCDF",0.1,2.0,0.6,0.9,2.9,3.8,63,0.9,10,8.4,9.9,2.2,21
"1,2,3,6,7,8-HxCDF",0.1,2.0,0.6,0.8,3.1,3.0,16,0.7,4.9,9.4,9.9,2.3,22
"1,2,3,7,8,9-HxCDF",0.1,2.0,0.6,N.D.,N.D.,N.D.,1.4,N.D.,N.D.,0.7,0.8,N.D.,1.7
"2,3,4,6,7,8-HxCDF",0.1,2.0,0.6,0.9,3.6,3.3,5.7,0.9,4.6,15,15,3.1,37
"1,2,3,4,6,7,8-HpCDF",0.01,2.0,0.6,4.4,11,11,21,6.1,97,45,47,20,120
