測定日,測定位置（高さ(m)）,No.1中防外側（μSv/h）,No.2中防外側（μSv/h）,No.3新海面（μSv/h）,No.4新海面（μSv/h）,No.5中防外側（μSv/h）,No.6中防外側（μSv/h）,No.7中防庁舎（μSv/h）
平成29年 9月26日,  0.5,0.07,0.07,0.06,0.04,0.06,0.04,0.05
平成29年 9月26日,  1.0,0.06,0.07,0.07,0.05,0.06,0.04,0.05
平成29年 9月19日,  0.5,0.06,0.08,0.06,0.04,0.07,0.04,0.04
平成29年 9月19日,  1.0,0.06,0.07,0.06,0.04,0.07,0.03,0.04
平成29年 9月12日,  0.5,0.07,0.08,0.06,0.04,0.06,0.04,0.03
平成29年 9月12日,  1.0,0.07,0.08,0.05,0.04,0.06,0.04,0.04
平成29年 9月5日,  0.5,0.06,0.08,0.05,0.04,0.06,0.04,0.04
平成29年 9月5日,  1.0,0.05,0.08,0.06,0.04,0.06,0.03,0.04
平成29年 8月29日,  0.5,0.06,0.08,0.07,0.04,0.05,0.03,0.04
平成29年 8月29日,  1.0,0.06,0.07,0.07,0.04,0.05,0.03,0.04
平成29年 8月22日,  0.5,0.06,0.08,0.05,0.04,0.06,0.03,0.04
平成29年 8月22日,  1.0,0.06,0.07,0.05,0.04,0.06,0.03,0.04
平成29年 8月15日,  0.5,0.06,0.07,0.08,0.04,0.06,0.03,0.03
平成29年 8月15日,  1.0,0.06,0.07,0.07,0.04,0.06,0.03,0.04
平成29年 8月8日,  0.5,0.06,0.08,0.07,0.03,0.06,0.03,0.05
平成29年 8月8日,  1.0,0.06,0.07,0.06,0.03,0.06,0.03,0.05
平成29年 8月1日,  0.5,0.06,0.08,0.07,0.03,0.05,0.04,0.04
平成29年 8月1日,  1.0,0.06,0.08,0.06,0.04,0.06,0.04,0.05
平成29年 7月25日,  0.5,0.05,0.08,0.07,0.03,0.06,0.03,0.04
平成29年 7月25日,  1.0,0.06,0.08,0.07,0.04,0.06,0.04,0.04
平成29年 7月18日,  0.5,0.06,0.08,0.07,0.04,0.06,0.03,0.04
平成29年 7月18日,  1.0,0.06,0.07,0.07,0.04,0.05,0.03,0.04
平成29年 7月11日,  0.5,0.06,0.06,0.05,0.03,0.06,0.03,0.05
平成29年 7月11日,  1.0,0.05,0.07,0.06,0.04,0.05,0.04,0.04
平成29年 7月4日,  0.5,0.05,0.07,0.07,0.03,0.06,0.03,0.05
平成29年 7月4日,  1.0,0.04,0.06,0.06,0.03,0.05,0.04,0.05
