レンジ,基準,原単位(kg-CO2/m2)範囲,事業所数,平均面積(m2),平均原単位(kg-CO2/m2)
A4,0.55以下,112.0以下,11,3885,203.5
A3+,0.55超-0.60以下,112.0超-122.1以下,4,7199,203.5
A3,0.60超-0.65以下,122.1超-132.3以下,5,3033,203.5
A3-,0.65超-0.70以下,132.3超-142.5以下,7,3915,203.5
A2+,0.70超-0.75以下,142.5超-152.7以下,3,2559,203.5
A2,0.75超-0.80以下,152.7超-162.8以下,7,4363,203.5
A2-,0.80超-0.85以下,162.8超-173.0以下,11,3045,203.5
A1+,0.85超-0.90以下,173.0超-183.2以下,6,2772,203.5
A1,0.90超-0.95以下,183.2超-193.4以下,9,3449,203.5
A1-,0.95超-1.00以下,193.4超-203.5以下,10,2914,203.5
B2+,1.00超-1.05以下,203.5超-213.7以下,12,2825,203.5
B2,1.05超-1.10以下,213.7超-223.9以下,7,2964,203.5
B2-,1.10超-1.15以下,223.9超-234.1以下,11,3386,203.5
B1,1.15超-1.50以下,234.1超-305.3以下,34,2944,203.5
C,1.50超,305.3超,9,2174,203.5
