測定日,測定位置（高さ(m)）,B1（μSv/h）,B2（μSv/h）,B3（μSv/h）,B4（μSv/h）,B5（μSv/h）,B6（μSv/h）,B7（μSv/h）,B8（μSv/h）
平成28年 12月29日,  1.0,0.04,0.05,0.04,0.04,0.04,0.04,0.03,0.04
平成28年 12月20日,  1.0,0.05,0.05,0.04,0.05,0.04,0.03,0.04,0.05
平成28年 12月13日,  1.0,0.04,0.05,0.05,0.05,0.05,0.03,0.04,0.03
平成28年 12月6日,  1.0,0.05,0.06,0.05,0.05,0.04,0.03,0.05,0.03
平成28年 11月29日,  1.0,0.05,0.04,0.05,0.04,0.04,0.03,0.04,0.04
平成28年 11月22日,  1.0,0.05,0.05,0.05,0.04,0.04,0.03,0.03,0.04
平成28年 11月15日,  1.0,0.05,0.04,0.05,0.04,0.05,0.03,0.05,0.03
平成28年 11月8日,  1.0,0.04,0.04,0.05,0.05,0.04,0.03,0.03,0.05
平成28年 11月1日,  1.0,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03
平成28年 10月25日,  1.0,0.04,0.04,0.05,0.04,0.05,0.04,0.04,0.04
平成28年 10月18日,  1.0,0.04,0.05,0.04,0.03,0.04,0.03,0.04,0.03
平成28年 10月11日,  1.0,0.02,0.03,0.03,0.02,0.03,0.02,0.03,0.03
平成28年 10月4日,  1.0,0.03,0.04,0.03,0.03,0.03,0.02,0.03,0.03
