一連番号,測定地点の住所,緯度,経度,座標系,道路名,環境基準類型等,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離(m),地上からの高さ(m),等価騒音ﾚﾍﾞﾙ(Leq)／昼間(dB),等価騒音ﾚﾍﾞﾙ(Leq)／夜間(dB)
1,千代田区麹町6-2,35.685215,139.733078,JGD2011,国道２０号（新宿通り）,c,2001-07-24,2001-07-26,3,6,7.0,1.5,70,69
2,千代田区九段南1-1,35.693378,139.754913,JGD2011,麹町竹平線（内堀通り）,b,2001-06-06,2001-06-08,4,4,2.0,1.5,73,70
3,千代田区飯田橋4-5-14,35.700676,139.747147,JGD2011,千代田練馬田無線（目白通り）,c,2001-07-24,2001-07-26,4,5,4.0,1.5,72,70
4,千代田区平河町2-5-2,35.680115,139.739044,JGD2011,区道１８８号,b,2001-07-24,2001-07-26,6,2,0.0,1.5,65,61
5,千代田区九段南3-8-14,35.692753,139.742584,JGD2011,新宿両国線（靖国通り）,c,2001-09-18,2001-09-20,4,5,5.0,1.5,69,67
6,千代田区神田須田町1-3,35.696018,139.769287,JGD2011,新宿両国線（靖国通り）,c,2001-09-18,2001-09-20,4,6,6.0,1.5,70,68
7,千代田区東神田2-10-18,35.695621,139.780716,JGD2011,新宿両国線（靖国通り）,c,2001-09-18,2001-09-20,4,6,6.0,1.5,69,68
8,千代田区神田神保町1-42,35.697716,139.757797,JGD2011,白山祝田田町線（白山通り）,c,2001-10-16,2001-10-18,4,4,4.0,1.5,72,72
9,千代田区一ﾂ橋2-2,35.693314,139.757553,JGD2011,白山祝田田町線（白山通り）,c,2001-10-16,2001-10-18,4,4,5.0,1.5,73,72
10,千代田区神田岩本町15,35.696655,139.775024,JGD2011,国道４号（昭和通り）,c,2001-11-13,2001-11-20,3,7,7.0,1.5,72,72
11,千代田区神田岩本町15(和泉橋出張所4階),35.696655,139.775024,JGD2011,首都高速１号上野線,c,2001-11-13,2001-11-20,2,4,18.0,14.0,76,73
12,千代田区神田錦町3-18,35.693203,139.761337,JGD2011,区道１０１号（千代田通り）,c,2002-01-22,2002-01-24,5,4,0.0,1.5,70,68
13,千代田区内神田1-1,35.689434,139.765686,JGD2011,錦町有楽町線,c,2002-01-22,2002-01-24,4,4,5.0,1.5,68,67
14,千代田区神田鍛冶町3-6,35.694111,139.771072,JGD2011,国道１７号（中央通り）,c,2002-01-22,2002-01-24,3,6,4.0,1.5,71,72
15,千代田区神田須田町1-28,35.695080,139.770081,JGD2011,国道17号（中央通り）,C,2002-01-23,2002-01-24,3,6,4.2,1.2,71,70
16,千代田区神田司町2-7,35.693069,139.767273,JGD2011,外堀環状線（外堀通り）,C,2002-01-23,2002-01-24,4,4,2.8,1.2,67,65
17,千代田区内神田1-14,35.692028,139.765015,JGD2011,本郷通り,C,2002-01-23,2002-01-24,4,4,5.6,1.2,72,71
18,中央区日本橋小伝馬町20-3,35.692455,139.780502,JGD2011,国道６号（江戸通り）,c,2001-07-03,2001-07-06,3,6,4.5,1.2,71,71
19,中央区築地6-1-11,35.665749,139.772690,JGD2011,日比谷豊洲埠頭東雲町線（晴海通り）,c,2001-07-24,2001-07-27,4,6,4.5,1.2,72,71
20,中央区日本橋人形町2-36-1,35.685848,139.786469,JGD2011,東京市川線（新大橋通り）,c,2001-10-02,2001-10-05,4,6,4.5,1.2,72,70
21,中央区銀座1-16-3,35.674118,139.770599,JGD2011,日本橋芝浦大森線（昭和通り）,c,2001-10-16,2001-10-19,4,8,4.6,1.2,74,74
22,中央区京橋2-3-13,35.676655,139.771225,JGD2011,国道１５号（中央通り）,c,2001-10-23,2001-10-26,3,5,3.0,1.2,69,67
23,中央区新富1-18-10,35.672295,139.775620,JGD2011,東京市川線（新大橋通り）,c,2001-11-13,2001-11-16,4,6,4.5,1.2,72,71
24,中央区晴海3-1-4,35.656456,139.779572,JGD2011,日比谷豊洲埠頭東雲町線（晴海通り）,c,2002-02-12,2002-02-15,4,8,5.0,1.2,71,69
25,中央区日本橋本町2-2-10,35.687996,139.775497,JGD2011,日本橋芝浦大森線（昭和通り）,c,2002-02-19,2002-02-22,4,8,4.5,1.2,72,71
26,中央区日本橋人形町2-15,35.684818,139.785614,JGD2011,東京市川線（新大橋通り）,C,2002-01-17,2002-01-18,4,6,5.5,1.2,73,71
27,中央区銀座1-20,35.672783,139.770218,JGD2011,日本橋芝浦大森線（昭和通り）,C,2002-01-23,2002-01-24,4,8,6.0,1.2,73,72
28,中央区月島3-12,35.662327,139.781311,JGD2011,上野月島線（清澄通り）,C,2002-01-17,2002-01-18,4,6,7.2,1.2,68,64
29,中央区佃2-9,35.665848,139.783737,JGD2011,新富晴海線,B,2002-01-17,2002-01-18,4,6,2.1,1.2,61,57
30,港区白金台1-2-37,35.636738,139.730743,JGD2011,国道１号(桜田通り),c,2001-05-21,2001-10-18,3,8,3.1,2.6,73,72
31,港区芝大門1-4-12,35.658218,139.754623,JGD2011,国道１５号(第一京浜),c,2001-05-21,2001-10-18,3,8,3.3,2.5,73,72
32,港区赤坂7-3-39,35.673260,139.728806,JGD2011,国道２４６号(青山通り),a,2001-05-21,2001-10-18,3,6,7.6,2.3,70,70
33,港区芝5-18-2,35.648060,139.748489,JGD2011,日比谷芝浦線（日比谷通り）,c,2001-05-21,2001-10-18,4,6,3.7,2.9,71,67
34,港区南麻布2-14-17,35.647388,139.733643,JGD2011,古川橋二子玉川線,c,2001-05-21,2001-10-18,4,6,2.7,1.4,73,71
35,港区西麻布3-12-4,35.656204,139.724091,JGD2011,北品川四谷線（外苑西通り）,b,2001-05-21,2001-10-18,4,6,2.7,2.7,71,70
36,港区赤坂8-11-32,35.668865,139.727951,JGD2011,環状３号線,c,2001-05-21,2001-10-18,4,4,2.1,2.1,70,69
37,港区白金台4-8-5,35.637562,139.724762,JGD2011,白金台町等々力線（目黒通り）,c,2001-05-21,2001-10-18,4,4,8.3,2.2,69,68
38,港区港南3-9-59,35.632515,139.751373,JGD2011,主地道３１６号（日本橋芝浦大森線）,c,2001-05-21,2001-10-18,4,6,5.5,1.5,76,74
39,港区台場1-3-1,35.632473,139.778198,JGD2011,特例都道４８２号（台場青海線）,c,2001-05-21,2001-10-18,4,5,4.3,1.7,77,75
40,港区三田2-13-9,35.649624,139.744522,JGD2011,国道１号(桜田通り),c,2001-05-21,2001-10-18,3,6,5.0,2.4,68,65
41,港区高輪2-13-8,35.634586,139.737762,JGD2011,国道１５号（第一京浜）,c,2001-05-21,2001-10-18,3,6,3.1,2.2,75,74
42,港区北青山3-3-16,35.668293,139.714828,JGD2011,国道２４６号（青山通り）,c,2001-05-21,2001-10-18,3,8,6.5,3.4,72,72
43,港区六本木4-2-30,35.665585,139.734467,JGD2011,特例都道４１２号（霞ヶ関渋谷線）,c,2001-05-21,2001-10-18,4,8,6.5,2.3,74,71
44,港区芝浦4-13-1,35.640358,139.748352,JGD2011,主地道３１６号（日本橋芝浦大森線）,c,2001-05-21,2001-10-18,4,6,4.1,1.7,72,70
45,港区虎ﾉ門5-8,35.662224,139.743546,JGD2011,国道１号（桜田通り）,C,2002-01-22,2002-01-23,3,4,4.0,1.2,70,69
46,港区芝5-29,35.646122,139.744720,JGD2011,国道１５号（第一京浜）,C,2002-01-29,2002-01-30,3,6,3.1,1.2,73,73
47,港区南青山4-23,35.662777,139.717621,JGD2011,赤坂杉並線,B,2002-01-22,2002-01-23,4,2,2.8,1.2,68,66
48,港区白金台4-8,35.637562,139.724762,JGD2011,白金台町等々力線（目黒通り）,C,2002-01-22,2002-01-23,4,4,4.2,1.2,69,68
49,港区麻布十番1-5,35.657490,139.732513,JGD2011,環状３号線,C,2002-01-22,2002-01-23,4,4,4.6,1.2,69,64
50,港区白金1-19,35.645081,139.733414,JGD2011,高輪麻布線,C,2002-01-29,2002-01-30,4,6,5.6,1.2,68,66
51,港区芝3-6,35.652103,139.748947,JGD2011,日比谷芝浦線（日比谷通り）,C,2002-01-22,2002-01-23,4,6,3.3,1.2,73,69
52,新宿区新小川町6-27,35.707233,139.742157,JGD2011,千代田練馬田無線（目白通り）,c,2001-06-13,2001-06-14,4,4,0.0,1.2,73,71
53,新宿区西落合4-3-9,35.727287,139.680771,JGD2011,千代田練馬田無線（新目白通り）,b,2001-06-26,2001-06-28,4,4,0.0,1.2,72,72
54,新宿区西早稲田1-13-5,35.711437,139.721130,JGD2011,千代田練馬田無線（新目白通り）,c,2001-05-22,2001-05-24,4,4,0.0,1.2,70,68
55,新宿区中落合1-3-6,35.716949,139.692093,JGD2011,千代田練馬田無線（新目白通り）,c,2001-11-27,2001-11-29,4,4,0.0,1.2,74,72
56,新宿区神楽坂6-58,35.702477,139.736923,JGD2011,飯田橋石神井新座線,c,2001-11-13,2001-11-15,4,1,0.0,1.2,70,65
57,新宿区西早稲田1-14-14,35.712589,139.719818,JGD2011,飯田橋石神井新座線（早稲田通り）,c,2001-05-22,2001-05-24,4,4,0.0,1.2,69,67
58,新宿区高田馬場4-13-8,35.712811,139.700867,JGD2011,飯田橋石神井新座線（早稲田通り）,c,2001-05-08,2001-05-10,4,2,0.0,1.2,74,72
59,新宿区西早稲田2-14-4,35.708271,139.711517,JGD2011,飯田橋石神井新座線,b,2001-11-13,2001-11-15,4,4,0.0,1.2,73,68
60,新宿区余丁町4-15,35.695354,139.715897,JGD2011,新宿両国線（抜弁天通り）,c,2001-12-11,2001-12-13,4,2,0.0,1.2,67,65
61,新宿区富久町8-25,35.691235,139.717834,JGD2011,新宿両国線（靖国通り）,c,2001-12-11,2001-12-13,4,4,0.0,1.2,74,72
62,新宿区新宿5-16-5,35.692585,139.706238,JGD2011,新宿両国線,c,2001-10-30,2001-11-01,4,4,0.0,1.2,74,71
63,新宿区西新宿8-19-3,35.695469,139.690643,JGD2011,東京所沢線（青梅街道）,c,2001-12-18,2001-12-20,4,4,0.0,1.2,78,75
64,新宿区新宿1-7-3,35.688854,139.710388,JGD2011,国道２０号（新宿通り）,c,2001-09-04,2001-09-06,3,4,0.0,1.2,72,67
65,新宿区市谷本村7-3,35.692543,139.729324,JGD2011,環状３号線,b,2001-09-04,2001-09-06,4,4,0.0,1.2,73,70
66,新宿区左門町13,35.686466,139.719818,JGD2011,環状３号線,c,2001-06-12,2001-06-14,4,4,0.0,1.2,70,69
