業種,再生利用率（%）,減量化率（%）,最終処分率（%）
建設業,77.7,18.4,3.9
製造業,47.2,45.0,7.7
上下水道業,0.2,99.6,0.3
農業，林業,59.0,41.0,0.0
電気・ガス・熱供給業,78.9,5.3,15.8
情報通信業,77.8,16.7,5.6
運輸業,76.5,17.6,5.9
卸売業，小売業,63.4,30.6,6.0
不動産業，物品賃貸業,72.4,17.2,10.3
学術研究，専門・技術サービス業,54.5,36.4,9.1
宿泊業，飲食サービス業,52.0,36.0,12.0
生活関連サービス業，娯楽業,50.0,50.0,0.0
教育，学習支援業,46.2,38.5,15.4
医療，福祉,21.3,75.4,3.3
サービス業,63.2,26.3,10.5
自動車整備業,71.4,28.6,0.0
合計,33.9,63.9,2.1
