測定日,測定位置（高さ(m)）,Ａ１（μSv/h）,Ａ２（μSv/h）,Ａ３（μSv/h）,Ａ４（μSv/h）,Ａ５（μSv/h）,Ａ６（μSv/h）,Ａ７（μSv/h）,Ａ８（μSv/h）
平成28年 12月29日,  1.0,0.05,0.04,0.04,0.04,0.05,0.04,0.04,0.07
平成28年 12月20日,  1.0,0.06,0.04,0.04,0.05,0.04,0.04,0.04,0.06
平成28年 12月13日,  1.0,0.05,0.05,0.04,0.05,0.05,0.04,0.04,0.07
平成28年 12月6日,  1.0,0.05,0.03,0.04,0.05,0.05,0.04,0.04,0.07
平成28年 11月29日,  1.0,0.04,0.04,0.04,0.04,0.05,0.05,0.04,0.06
平成28年 11月22日,  1.0,0.04,0.03,0.04,0.04,0.05,0.04,0.04,0.07
平成28年 11月15日,  1.0,0.04,0.03,0.04,0.04,0.05,0.04,0.04,0.06
平成28年 11月8日,  1.0,0.05,0.04,0.04,0.04,0.05,0.04,0.05,0.07
平成28年 11月1日,  1.0,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.07
平成28年 10月25日,  1.0,0.05,0.04,0.05,0.04,0.05,0.05,0.07,0.07
平成28年 10月18日,  1.0,0.04,0.04,0.04,0.04,0.05,0.04,0.04,0.06
平成28年 10月11日,  1.0,0.03,0.03,0.03,0.03,0.04,0.03,0.03,0.05
平成28年 10月4日,  1.0,0.04,0.03,0.03,0.03,0.04,0.04,0.05,0.04
