業種,平成27年度（千t）,平成28年度（千t）
合計,606,580
建設業,401,395
製造業,101,109
上下水道業,45,31
農業，林業,0,0
電気・ガス・熱供給業,20,11
情報通信業,1,0
運輸業,5,3
卸売業，小売業,4,5
不動産業，物品賃貸業,12,8
学術研究，専門・技術サービス業,1,2
宿泊業，飲食サービス業,2,3
生活関連サービス業，娯楽業,1,1
教育，学習支援業,7,5
医療，福祉,4,4
サービス業,2,3
自動車整備業,0,0
