種類,,,,発生量（千t）,有償物量（千t）,排出量（千t）,自己中間処理量（千t）,自己中間処理量／自己中間処理後量（千t）,自己中間処理量／自己中間処理後量／自己中間処理後再生利用量（千t）,自己中間処理量／自己中間処理後量／自己中間処理後自己最終処分量（千t）,自己中間処理量／自己中間処理後量／自己中間処理後委託処理量（千t）,自己中間処理量／自己中間処理後量／自己中間処理後委託直接最終処分量（千t）,自己減量化量（千t）,自己未処理量（千t）,自己未処理量／自己未処理再生利用量（千t）,自己未処理量／自己未処理自己最終処分量（千t）,自己未処理量／自己未処理委託処理量（千t）,自己未処理量／自己未処理委託直接最終処分量（千t）,委託処理量（千t）,委託処理量／委託中間処理量（千t）,委託処理量／委託中間処理量／委託中間処理後量（千t）,委託処理量／委託中間処理量／委託中間処理後量／委託中間処理後再生利用量（千t）,委託処理量／委託中間処理量／委託中間処理後量／委託中間処理後最終処分量（千t）,委託処理量／委託直接最終処分量（千t）,委託減量化量（千t）,委託最終処分量（千t）,再生利用量（千t）,減量化量（千t）,最終処分量（千t）
合計,,,,1306,49,1257,399,75,13,0,62,0,324,858,4,0,854,0,916,916,732,623,109,0,184,109,640,508,109
燃え殻,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
汚泥,,,,500,0,500,307,20,0,0,20,0,287,193,1,0,192,0,212,212,88,71,17,0,124,17,72,411,17
汚泥,上水汚泥,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
汚泥,下水汚泥,,,4,0,4,0,0,0,0,0,0,0,4,0,0,4,0,4,4,3,3,0,0,1,0,3,1,0
汚泥,建設汚泥,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
汚泥,その他の汚泥,,,496,0,496,307,20,0,0,20,0,287,189,1,0,188,0,208,208,85,68,17,0,123,17,69,410,17
廃油,,,,12,3,9,0,0,0,0,0,0,0,9,0,0,9,0,9,9,6,6,0,0,3,0,6,3,0
廃酸,,,,10,0,10,1,0,0,0,0,0,1,9,0,0,9,0,9,9,8,5,3,0,1,3,5,2,3
廃アルカリ,,,,3,0,3,0,0,0,0,0,0,0,3,0,0,3,0,3,3,2,2,0,0,1,0,2,1,0
廃プラスチック類,,,,31,1,30,8,2,0,0,2,0,6,22,0,0,22,0,24,24,15,13,2,0,9,2,13,15,2
ゴムくず,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
金属くず,,,,55,30,25,2,2,2,0,0,0,0,23,0,0,23,0,23,23,23,23,0,0,0,0,25,0,0
ガラス・陶磁器くず,,,,501,0,501,74,48,8,0,40,0,26,427,3,0,424,0,464,464,441,357,84,0,23,84,368,49,84
鉱さい,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がれき類,,,,92,0,92,0,0,0,0,0,0,0,92,0,0,92,0,92,92,92,92,0,0,0,0,92,0,0
がれき類,コンクリート塊,,,88,0,88,0,0,0,0,0,0,0,88,0,0,88,0,88,88,88,88,0,0,0,0,88,0,0
がれき類,アスファルト･コンクリート塊,,,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0
がれき類,その他のがれき類,,,3,0,3,0,0,0,0,0,0,0,3,0,0,3,0,3,3,3,3,0,0,0,0,3,0,0
