一連番号,測定地点の住所,緯度,経度,座標系,道路名,環境基準類型等,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離(m),地上からの高さ(m),等価騒音ﾚﾍﾞﾙ(Leq)／昼間(dB),等価騒音ﾚﾍﾞﾙ(Leq)／夜間(dB)
290,板橋区南常磐台2-8-9,35.756393,139.689240,JGD2011,国道254号,c,2006-09-04,2006-09-08,3,4,4.0,1.0,72,71
292,板橋区大山町13-1,35.747055,139.700409,JGD2011,国道254号,c,2006-09-27,2006-09-28,3,4,4.0,1.0,72,69
293,板橋区本町41-3,35.757793,139.707443,JGD2011,国道17号,c,2006-09-28,2006-09-29,3,6,4.0,1.0,75,74
295,板橋区大原町6-5,35.769924,139.700775,JGD2011,国道17号,c,2006-07-19,2006-07-20,3,4,4.0,1.0,71,70
296,板橋区東坂下2-20-1,35.787846,139.685287,JGD2011,国道17号,c,2006-10-18,2006-10-19,3,4,4.0,1.0,72,71
301,板橋区赤塚新町3-3-9,35.770729,139.641541,JGD2011,国道254号,c,2006-10-19,2006-10-20,3,4,4.0,1.0,72,71
302,板橋区大谷口  上町4,35.750233,139.694702,JGD2011,国道254号線,C,2006-12-04,2006-12-05,3,4,4.7,1.2,70,68
303,板橋区南常盤台2丁目22,35.758156,139.683456,JGD2011,国道254号線,C,2006-12-04,2006-12-05,3,4,5.2,1.2,73,74
304,板橋区赤塚新町3丁目17,35.773643,139.635147,JGD2011,国道254号線,C,2006-12-04,2006-12-05,3,4,4.8,1.2,74,72
313,足立区千住河原町10,35.743710,139.797867,JGD2011,国道4号線,c,2006-11-21,2006-11-22,3,7,4.0,1.5,75,73
314,足立区中央本町1-5-3,35.771072,139.803894,JGD2011,国道4号線,c,2006-12-04,2006-12-05,3,4,4.0,1.5,70,69
315,足立区西保木間1-15,35.796452,139.801788,JGD2011,国道4号線,c,2006-11-21,2006-11-22,3,4,4.8,1.2,74,74
328,葛飾区四つ木2丁目4,35.736511,139.835846,JGD2011,国道6号,B,2007-01-22,2007-01-23,3,8,3.2,1.2,73,73
334,葛飾区金町5-24,35.765957,139.868622,JGD2011,国道6号,c,2006-07-19,2006-07-26,3,8,3.8,1.2,68,65
335,葛飾区四つ木5-15,35.742584,139.841217,JGD2011,国道6号,c,2006-08-04,2006-08-11,3,4,4.7,1.2,70,67
349,江戸川区東小松川1丁目6番地,35.702507,139.866241,JGD2011,国道14号,c,2006-11-16,2006-11-17,3,4,4.0,1.2,75,72
350,江戸川区瑞江1丁目20番地,35.701397,139.895813,JGD2011,国道14号,c,2006-11-16,2006-11-17,3,4,4.5,1.2,73,72
351,江戸川区篠崎町7丁目12番地,35.703369,139.901749,JGD2011,国道14号,c,2006-11-08,2006-11-09,3,6,4.8,1.2,73,71
354,八王子市加住町1-170-2,35.700542,139.316833,JGD2011,国道411号(滝山街道),a,2007-03-07,2007-03-08,3,2,1.0,1.2,72,70
363,八王子市片倉町2416,35.640305,139.338898,JGD2011,国道16号(東京環状),b,2007-02-26,2007-03-01,3,2,2.0,1.2,72,73
364,八王子市大谷町355-1,35.676857,139.354065,JGD2011,国道16号,b,2007-03-07,2007-03-08,3,6,0.0,1.2,69,69
365,八王子市並木町15-15,35.650925,139.300262,JGD2011,国道20号,b,2007-02-22,2007-02-23,3,4,4.0,1.2,70,68
373,八王子市大谷町48,35.668865,139.353210,JGD2011,国道１６号,B,2007-02-01,2007-02-02,3,4,5.0,1.2,72,72
374,八王子市大谷町,35.672825,139.348831,JGD2011,国道１６号,B,2007-02-01,2007-02-02,3,4,9.5,1.2,69,68
375,八王子市中野山王1-8-5,35.671257,139.330734,JGD2011,国道16号(東京環状),c,2007-03-07,2007-03-08,3,2,1.0,1.2,72,71
376,八王子市北野町549-5,35.646137,139.353210,JGD2011,国道16号,c,2007-01-16,2007-01-19,3,6,8.0,1.2,68,68
377,八王子市明神町4-21-1,35.660000,139.345459,JGD2011,国道20号,c,2007-02-13,2007-02-14,3,4,4.0,1.2,67,63
378,八王子市八日町6-2,35.660484,139.329498,JGD2011,国道20号,c,2007-02-26,2007-03-01,3,4,5.0,1.2,71,70
