年度,再生利用量（千t）,減量化量（千t）,最終処分量（千t）,排出量（千t）
昭和57,473,1283,403,2159
昭和62,384,1451,373,2208
平成4　,371,1597,368,2336
平成10,194,1678,141,2013
平成15,418,998,358,1774
平成16,322,776,245,1343
平成17,176,767,153,1096
平成18,283,799,208,1289
平成19,413,889,170,1473
平成20,278,669,200,1147
平成21,151,541,98,790
平成22,305,302,147,754
平成23,289,435,252,976
平成24,313,440,238,991
平成25,584,553,105,1242
平成26,550,457,115,1122
平成27,566,459,101,1126
平成28,640,508,109,1257
