項目名,,試料における定量下限,試料における検出下限,毒性等価係数,単位  ,1江戸川／金町取水点,2旧江戸川／浦安橋,3中川／平井小橋,4新中川／小岩大橋,5新川／新川橋,6隅田川／小台橋,7隅田川／両国橋,8新河岸川／志茂橋,9白子川／落合橋／,10石神井川／豊石橋,11神田川／柳橋,12日本橋川／西河岸橋,13横十間川／天神橋,14大横川／福寿橋,15北十間川／京成橋,16堅川／二之橋,17小名木川／進開橋,18旧中川／中平井橋,19古川／金杉橋,20目黒川／太鼓橋,21立会川／立会橋,22内川／富士見橋,23呑川／夫婦橋,24谷地川／下田橋,25大栗川／向ノ岡大橋,26野川／天神森橋,27恩田川／都橋,28境川／鶴間一号橋,29黒沢川／落合橋,30空堀川／梅坂橋,31黒目川／神宝大橋,32東京湾／St.5,33東京湾／St.6,34東京湾／St.8,35東京湾／St.22,36東京湾／St.23,37東京湾／St.25,38東京湾／St.32,39東京湾／St.35
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","2,3,7,8-TeCDD",0.10,0.03,1,pg/ｌ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,3,6,8-TeCDD",0.10,0.03,-,pg/ｌ,1.6,5.2,35,13,5.4,1.6,1.1,1.4,1,0.27,0.33,0.38,1.6,3.7,2.9,3.1,1.7,2.6,0.17,0.1,0.13,0.26,0.16,0.27,0.23,0.16,0.16,0.19,0.28,0.35,0.41,0.86,0.85,4.1,0.68,1.2,1.5,0.95,0.41
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,3,7,9-TeCDD",0.10,0.03,-,pg/ｌ,0.49,1.8,13,4.5,1.8,0.57,0.48,0.49,0.33,0.14,0.13,0.13,0.7,1.4,1.2,1.1,0.72,1.2,0.13,(0.06),(0.06),0.1,(0.07),0.1,(0.07),(0.07),(0.07),(0.07),0.12,0.15,0.25,0.29,0.31,1.5,0.23,0.42,0.54,0.32,0.14
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",TeCDDs,-,-,-,pg/ｌ,2.7,7.7,51,19,7.9,3,2.2,3.9,2.7,0.57,0.92,0.75,2.7,5.9,5.1,5,2.8,4.2,2.1,2,0.26,1.6,1.7,0.66,0.41,0.29,0.54,1.6,0.72,0.59,0.79,1.3,1.3,5.9,0.97,1.8,2.5,1.4,0.6
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,7,8-PeCDD",0.10,0.03,1,pg/ｌ,0,0,0.11,0,0,0,0,0,0,0,0,0,(0.06),0,0,0,0,(0.09),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,7-PeCDD",0.10,0.03,-,pg/ｌ,0,0,0.16,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(0.04),0,0,0,0,0
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",PeCDDs,-,-,-,pg/ｌ,0.31,1.1,7.3,2.2,1.1,0.39,0,0.41,0.34,0,0.13,0.14,0.82,0.71,0.79,0.66,0,1.3,0,0.22,0,0.17,0.13,0.17,0,0.09,0.05,0.17,0.28,0.24,0,0.21,0.22,0.79,0.11,0.3,0.38,0.14,0.1
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,7,8-HxCDD",0.20,0.06,0.1,pg/ｌ,0,0,0.21,(0.09),0,0,0,0,0,0,0,0,0,0,0,0,0,(0.10),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,6,7,8-HxCDD",0.20,0.06,0.1,pg/ｌ,0,0,0.43,(0.17),0,(0.06),0,0,0,0,0,0,(0.17),0,(0.18),(0.11),0,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(0.09),0,0,(0.07),0,0
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,7,8,9-HxCDD",0.20,0.06,0.1,pg/ｌ,0,0,0.38,(0.09),0,0,0,0,0,0,0,0,(0.11),0,0,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(0.07),0,0,0,0,0
