測定日,測定位置（高さ(m)）,No.1中防外側（μSv/h）,No.2中防外側（μSv/h）,No.3新海面（μSv/h）,No.4新海面（μSv/h）,No.5中防外側（μSv/h）,No.6中防外側（μSv/h）,No.7中防庁舎（μSv/h）
平成28年 9月28日,  0.5,0.05,0.06,0.07,0.06,0.05,0.04,0.03
平成28年 9月28日,  1.0,0.05,0.05,0.06,0.05,0.05,0.04,0.03
平成28年 9月21日,  0.5,0.05,0.07,0.06,0.06,0.05,0.04,0.03
平成28年 9月21日,  1.0,0.05,0.06,0.06,0.05,0.05,0.05,0.04
平成28年 9月14日,  0.5,0.05,0.07,0.06,0.05,0.05,0.04,0.03
平成28年 9月14日,  1.0,0.05,0.06,0.06,0.05,0.05,0.04,0.03
平成28年 9月7日,  0.5,0.06,0.06,0.06,0.05,0.06,0.04,0.03
平成28年 9月7日,  1.0,0.05,0.06,0.06,0.05,0.05,0.04,0.04
平成28年 8月31日,  0.5,0.05,0.06,0.06,0.05,0.05,0.04,0.03
平成28年 8月31日,  1.0,0.05,0.07,0.07,0.06,0.05,0.04,0.04
平成28年 8月24日,  0.5,0.05,0.06,0.07,0.06,0.05,0.04,0.03
平成28年 8月24日,  1.0,0.05,0.06,0.06,0.05,0.04,0.04,0.04
平成28年 8月17日,  0.5,0.06,0.07,0.07,0.06,0.05,0.04,0.03
平成28年 8月17日,  1.0,0.05,0.06,0.06,0.05,0.04,0.04,0.04
平成28年 8月10日,  0.5,0.05,0.06,0.07,0.05,0.05,0.04,0.04
平成28年 8月10日,  1.0,0.05,0.06,0.06,0.05,0.04,0.05,0.04
平成28年 8月3日,  0.5,0.05,0.06,0.07,0.06,0.05,0.04,0.03
平成28年 8月3日,  1.0,0.05,0.06,0.06,0.05,0.05,0.04,0.04
平成28年 7月27日,  0.5,0.05,0.06,0.07,0.06,0.05,0.04,0.03
平成28年 7月27日,  1.0,0.05,0.07,0.06,0.05,0.05,0.04,0.04
平成28年 7月20日,  0.5,0.06,0.06,0.07,0.06,0.05,0.04,0.03
平成28年 7月20日,  1.0,0.05,0.06,0.06,0.06,0.05,0.04,0.03
平成28年 7月13日,  0.5,0.06,0.07,0.07,0.06,0.05,0.04,0.04
平成28年 7月13日,  1.0,0.05,0.06,0.06,0.05,0.05,0.05,0.04
平成28年 7月6日,  0.5,0.07,0.07,0.06,0.06,0.05,0.04,0.03
平成28年 7月6日,  1.0,0.07,0.07,0.06,0.05,0.05,0.04,0.03
