項目名,毒性等価係数,多摩川清掃工場周辺地区／大田区下丸子4／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,多摩川清掃工場周辺地区／大田区千鳥3／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,多摩川清掃工場周辺地区／大田区池上8／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,多摩川清掃工場周辺地区／大田区東矢口3／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,多摩川清掃工場周辺地区／大田区新蒲田3／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,三鷹市環境ｾﾝﾀｰ周辺地区／三鷹市中原1／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,三鷹市環境ｾﾝﾀｰ周辺地区／三鷹市北野3／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,三鷹市環境ｾﾝﾀｰ周辺地区／三鷹市新川5／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,三鷹市環境ｾﾝﾀｰ周辺地区／三鷹市中原4／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,三鷹市環境ｾﾝﾀｰ周辺地区／調布市緑ヶ丘2／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）
"1,3,6,8-TeCDD",0,0.2,0.05,9.8,0.2,0.05,11,0.1,0.04,11,0.2,0.05,27,0.2,0.05,20,0.1,0.04,42,0.2,0.05,84,0.2,0.05,89,0.1,0.04,29,0.2,0.05,17
"1,3,7,9-TeCDD",0,0.2,0.05,4.4,0.2,0.05,5.8,0.1,0.04,5.2,0.2,0.05,12,0.2,0.05,9.1,0.1,0.04,19,0.2,0.05,48,0.2,0.05,35,0.1,0.04,15,0.2,0.05,8.4
"2,3,7,8-TeCDD",1,0.2,0.05,0.2,0.2,0.05,0.24,0.1,0.04,0.3,0.2,0.05,0.41,0.2,0.05,0.58,0.1,0.04,0.35,0.2,0.05,0.79,0.2,0.05,0.3,0.1,0.04,0.55,0.2,0.05,0.39
"1,2,3,7,8-PeCDD",1,0.2,0.06,1.1,0.2,0.06,1.2,0.2,0.06,1.3,0.2,0.06,2.4,0.2,0.06,3.2,0.2,0.06,3.1,0.2,0.06,4.9,0.2,0.06,1.4,0.2,0.06,3.3,0.2,0.06,1.8
"1,2,3,4,7+1,2,3,4,6-PeCDD",0,0.2,0.06,1.1,0.2,0.06,1.8,0.2,0.06,1.7,0.2,0.06,3.6,0.2,0.06,4.4,0.2,0.06,6.5,0.2,0.06,6.1,0.2,0.06,1.4,0.2,0.06,5.2,0.2,0.06,2.7
"1,2,3,4,7,8-HxCDD",0.1,0.6,0.2,1.3,0.6,0.2,1.4,0.6,0.2,1.1,0.6,0.2,2.8,0.6,0.2,2.8,0.6,0.2,3.8,0.6,0.2,3.5,0.7,0.2,1.2,0.6,0.2,3.3,0.6,0.2,1.7
"1,2,3,6,7,8-HxCDD",0.1,0.2,0.07,3.4,0.2,0.07,3.1,0.2,0.07,2.4,0.2,0.07,5.7,0.2,0.07,5.3,0.2,0.07,8,0.2,0.07,7.2,0.2,0.07,3.3,0.2,0.07,7.5,0.2,0.07,3.3
"1,2,3,7,8,9-HxCDD",0.1,0.3,0.09,3.1,0.3,0.09,2.7,0.3,0.09,2.7,0.3,0.09,5.2,0.3,0.09,4.5,0.3,0.09,6.2,0.3,0.09,8.9,0.3,0.1,3.8,0.3,0.09,6,0.3,0.09,3.4
"1,2,3,4,6,7,8-HpCDD",0.01,1,0.4,50,1,0.4,29,1,0.4,21,1,0.4,67,1,0.4,51,1,0.4,63,1,0.4,71,1,0.4,46,1,0.4,68,1,0.4,33
OCDD,0.0003,2,0.7,920,2,0.7,210,2,0.7,190,2,0.7,800,2,0.7,390,2,0.7,240,2,0.7,890,3,0.8,790,2,0.7,380,2,0.7,170
"1,3,6,8-TeCDF",0,0.2,0.07,1.2,0.2,0.07,1.5,0.2,0.07,2.2,0.2,0.07,3.1,0.2,0.07,4.6,0.2,0.07,2.9,0.2,0.07,2,0.3,0.08,1.2,0.2,0.07,4,0.2,0.07,2.2
"1,2,7,8-TeCDF",0,0.2,0.07,2.1,0.2,0.07,2.4,0.2,0.07,3.4,0.2,0.07,4.9,0.2,0.07,7.8,0.2,0.07,3.2,0.2,0.07,3.1,0.3,0.08,1.7,0.2,0.07,4.9,0.2,0.07,3.2
"2,3,7,8-TeCDF",0.1,0.2,0.07,2.1,0.2,0.07,2.8,0.2,0.07,4.4,0.2,0.07,5.2,0.2,0.07,8.9,0.2,0.07,2.8,0.2,0.07,2.9,0.3,0.08,1.9,0.2,0.07,4.2,0.2,0.07,2.7
"1,2,3,7,8-PeCDF",0.03,0.6,0.2,1.9,0.5,0.2,2.4,0.5,0.2,3.2,0.6,0.2,4.8,0.6,0.2,6.9,0.5,0.2,4.2,0.6,0.2,3.2,0.6,0.2,1.7,0.5,0.2,5,0.5,0.2,3.1
"2,3,4,7,8-PeCDF",0.3,0.6,0.2,2.5,0.6,0.2,3.3,0.6,0.2,3.3,0.7,0.2,6.5,0.6,0.2,9.2,0.6,0.2,5.8,0.7,0.2,5.1,0.7,0.2,1.9,0.6,0.2,6.9,0.6,0.2,3.7
