種類,最終処分量（千t）,構成比（％）
ｶﾞﾗｽ陶磁器くず,170,29.1
がれき類,116,19.9
混合廃棄物,75,12.8
建設汚泥,66,11.3
その他汚泥,39,6.7
廃プラスチック,27,4.6
下水汚泥,23,3.9
上水汚泥,8,1.4
木くず,3,0.5
その他,57,9.8
合計,584,100.0
