年度,ガラス・陶磁器くず（千t）,廃プラスチック類（千t）,汚泥（千t）,鉱さい（千t）,動植物性残さ（千t）,金属くず（千t）,紙くず（千t）,その他（千t）,合計（千t）
昭和57,5,5,129,206,10,41,2,76,473
昭和62,16,7,63,159,52,17,11,59,384
平成4　,19,7,1,97,23,39,50,135,371
平成10,8,3,31,68,6,43,21,14,194
平成15,195,11,32,0,5,45,54,76,418
平成16,13,12,14,0,6,129,13,135,322
平成17,3,13,11,21,6,55,7,60,176
平成18,52,23,4,18,13,112,15,46,283
平成19,75,38,16,27,25,96,27,109,413
平成20,81,34,77,13,14,24,2,33,278
平成21,21,8,23,0,23,1,4,71,151
平成22,69,12,57,11,57,8,5,86,305
平成23,145,20,58,13,13,9,6,25,289
平成24,167,13,74,12,13,9,3,22,313
平成25,315,47,45,40,25,23,15,75,584
平成26,337,41,50,0,20,20,11,71,550
平成27,317,34,50,1,16,17,21,110,566
平成28,368,13,72,0,12,25,25,125,640
