年度,再生利用率（%）,減量化率（%）,最終処分率（%）
昭和57,27.9,26.7,41.0
昭和62,37.9,9.4,52.8
平成4　,34.8,7.7,57.5
平成10,48.3,21.5,30.2
平成15,70.2,18.1,11.7
平成16,57.6,29.4,13.0
平成17,76.0,14.1,9.9
平成18,76.7,12.6,10.7
平成19,75.4,15.2,9.4
平成20,74.2,17.2,8.6
平成21,76.1,16.5,7.4
平成22,76.7,16.4,6.9
平成23,77.7,14.7,7.7
平成24,79.5,15.2,5.3
平成25,83.4,11.3,5.3
平成26,84.2,10.9,4.9
平成27,87.0,9.0,4.0
平成28,83.2,13.1,3.8
