レンジ,基準,原単位(kg-CO2/m2)範囲,事業所数,平均面積(m2),平均原単位(kg-CO2/m2)
A4,0.55以下,227.8以下,44,145,414.1
A3+,0.55超-0.60以下,227.8超-248.5以下,18,182,414.1
A3,0.60超-0.65以下,248.5超-269.2以下,15,161,414.1
A3-,0.65超-0.70以下,269.2超-289.9以下,16,169,414.1
A2+,0.70超-0.75以下,289.9超-310.6以下,18,132,414.1
A2,0.75超-0.80以下,310.6超-331.3以下,26,160,414.1
A2-,0.80超-0.85以下,331.3超-352.0以下,20,152,414.1
A1+,0.85超-0.90以下,352.0超-372.7以下,19,169,414.1
A1,0.90超-0.95以下,372.7超-393.4以下,16,104,414.1
A1-,0.95超-1.00以下,393.4超-414.1以下,19,136,414.1
B2+,1.00超-1.05以下,414.1超-434.9以下,27,147,414.1
B2,1.05超-1.10以下,434.9超-455.6以下,23,134,414.1
B2-,1.10超-1.15以下,455.6超-476.3以下,20,162,414.1
B1,1.15超-1.50以下,476.3超-621.2以下,71,127,414.1
C,1.50超,621.2超,42,90,414.1
