年度（平成）,再生利用量（千t）,減量化量（千t）,最終処分量（千t）,合計（千t）,再生利用率（%）,減量化率（%）,最終処分率（%）
29,25,14773,38,14836,0.2,99.6,0.3
28,26,14619,31,14676,0.2,99.6,0.2
