業種,平成28年度（千t）,平成29年度（千t）
合計,16654,17448
建設業,1375,1986
製造業,508,523
上下水道業,14619,14773
農業，林業,16,16
電気・ガス・熱供給業,0,1
情報通信業,5,3
運輸業,4,9
卸売業，小売業,39,41
不動産業，物品賃貸業,9,10
学術研究，専門・技術サービス業,10,12
宿泊業，飲食サービス業,10,9
生活関連サービス業，娯楽業,2,2
教育，学習支援業,10,10
医療，福祉,42,46
サービス業,3,5
自動車整備業,2,2
