種類,平成27年度（千t）,平成28年度（千t）
合計,13469,16654
上水汚泥,418,405
下水汚泥,11552,14213
建設汚泥,761,1272
その他汚泥,394,477
廃酸,0,2
廃アルカリ,2,2
廃プラスチック類,103,75
木くず,81,23
がれき類,29,8
混合廃棄物,3,11
その他,126,166
