測定日,測定位置（高さ(m)）,B1（μSv/h）,B2（μSv/h）,B3（μSv/h）,B4（μSv/h）,B5（μSv/h）,B6（μSv/h）,B7（μSv/h）,B8（μSv/h）
平成28年 3月30日,  1.0,0.04,0.04,0.03,0.03,0.04,0.03,0.03,0.03
平成28年 3月23日,  1.0,0.04,0.05,0.04,0.04,0.03,0.04,0.04,0.04
平成28年 3月16日,  1.0,0.03,0.05,0.03,0.03,0.04,0.02,0.02,0.04
平成28年 3月9日,  1.0,0.03,0.04,0.03,0.03,0.04,0.03,0.03,0.03
平成28年 3月2日,  1.0,0.04,0.06,0.04,0.04,0.05,0.03,0.04,0.04
平成28年 2月24日,  1.0,0.04,0.04,0.04,0.03,0.03,0.03,0.02,0.03
平成28年 2月17日,  1.0,0.03,0.04,0.04,0.03,0.03,0.03,0.02,0.03
平成28年 2月10日,  1.0,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.04
平成28年 2月3日,  1.0,0.03,0.04,0.04,0.04,0.04,0.02,0.04,0.04
平成28年 1月27日,  1.0,0.03,0.04,0.04,0.04,0.04,0.03,0.03,0.04
平成28年 1月20日,  1.0,0.04,0.04,0.04,0.03,0.04,0.03,0.03,0.04
平成28年 1月13日,  1.0,0.03,0.04,0.03,0.04,0.04,0.03,0.04,0.04
平成28年 1月6日,  1.0,0.03,0.05,0.04,0.03,0.04,0.02,0.04,0.04
