,,容積比（%）
容器包装,紙類／プラスチック／ガラス／金属／その他,52.5
容器包装,紙類,14.5
容器包装,プラスチック,33.9
容器包装,ガラス,1.2
容器包装,金属,2.5
容器包装,その他,0.4
容器包装以外,,47.5
"注）全国：平成23年度, 環境省調べ",,
