レンジ,基準,原単位(kg-CO2/m2)範囲,事業所数,平均面積(m2),平均原単位(kg-CO2/m2)
A4,0.55以下,395.3以下,63,324,718.7
A3+,0.55超-0.60以下,395.3超-431.3以下,16,236,718.7
A3,0.60超-0.65以下,431.3超-467.2以下,27,160,718.7
A3-,0.65超-0.70以下,467.2超-503.1以下,20,129,718.7
A2+,0.70超-0.75以下,503.1超-539.1以下,22,141,718.7
A2,0.75超-0.80以下,539.1超-575.0以下,18,150,718.7
A2-,0.80超-0.85以下,575.0超-610.9以下,22,131,718.7
A1+,0.85超-0.90以下,610.9超-646.9以下,28,119,718.7
A1,0.90超-0.95以下,646.9超-682.8以下,16,109,718.7
A1-,0.95超-1.00以下,682.8超-718.7以下,23,129,718.7
B2+,1.00超-1.05以下,718.7超-754.7以下,27,107,718.7
B2,1.05超-1.10以下,754.7超-790.6以下,18,109,718.7
B2-,1.10超-1.15以下,790.6超-826.6以下,21,100,718.7
B1,1.15超-1.50以下,826.6超-1078.1以下,54,90,718.7
C,1.50超,1078.1超,62,60,718.7
