業種,平成28年度（千t）,平成29年度（千t）
合計,580,584
建設業,395,421
製造業,109,90
上下水道業,31,38
農業，林業,0,0
電気・ガス・熱供給業,11,3
情報通信業,0,1
運輸業,3,3
卸売業，小売業,5,8
不動産業，物品賃貸業,8,6
学術研究，専門・技術サービス業,2,3
宿泊業，飲食サービス業,3,3
生活関連サービス業，娯楽業,1,0
教育，学習支援業,5,4
医療，福祉,4,2
サービス業,3,2
自動車整備業,0,0
