測定日,測定位置（高さ(m)）,No.1中防外側（μSv/h）,No.2中防外側（μSv/h）,No.3新海面（μSv/h）,No.4新海面（μSv/h）,No.5中防外側（μSv/h）,No.6中防外側（μSv/h）,No.7中防庁舎（μSv/h）
平成27年 12月28日,  0.5,0.07,0.07,0.06,0.05,0.05,0.04,0.03
平成27年 12月28日,  1.0,0.06,0.06,0.05,0.05,0.05,0.03,0.04
平成27年 12月21日,  0.5,0.07,0.07,0.06,0.05,0.06,0.04,0.03
平成27年 12月21日,  1.0,0.07,0.06,0.06,0.04,0.05,0.05,0.03
平成27年 12月16日,  0.5,0.06,0.06,0.06,0.05,0.05,0.04,0.03
平成27年 12月16日,  1.0,0.06,0.06,0.06,0.05,0.05,0.04,0.04
平成27年 12月9日,  0.5,0.07,0.06,0.06,0.05,0.05,0.04,0.04
平成27年 12月9日,  1.0,0.06,0.06,0.05,0.05,0.05,0.05,0.05
平成27年 12月2日,  0.5,0.07,0.07,0.06,0.05,0.05,0.03,0.03
平成27年 12月2日,  1.0,0.06,0.07,0.04,0.05,0.05,0.04,0.04
平成27年 11月25日,  0.5,0.06,0.06,0.05,0.05,0.05,0.04,0.04
平成27年 11月25日,  1.0,0.06,0.06,0.06,0.04,0.05,0.04,0.05
平成27年 11月18日,  0.5,0.05,0.05,0.06,0.05,0.05,0.04,0.03
平成27年 11月18日,  1.0,0.05,0.06,0.06,0.05,0.04,0.04,0.04
平成27年 11月11日,  0.5,0.06,0.06,0.06,0.05,0.05,0.03,0.03
平成27年 11月11日,  1.0,0.07,0.06,0.05,0.04,0.05,0.04,0.03
平成27年 11月4日,  0.5,0.06,0.06,0.06,0.04,0.06,0.04,0.03
平成27年 11月4日,  1.0,0.07,0.06,0.05,0.05,0.05,0.05,0.04
平成27年 10月28日,  0.5,0.08,0.06,0.07,0.05,0.05,0.04,0.04
平成27年 10月28日,  1.0,0.06,0.06,0.06,0.06,0.05,0.04,0.04
平成27年 10月21日,  0.5,0.07,0.06,0.06,0.05,0.05,0.04,0.03
平成27年 10月21日,  1.0,0.06,0.06,0.05,0.05,0.05,0.04,0.03
平成27年 10月14日,  0.5,0.07,0.07,0.06,0.05,0.05,0.04,0.04
平成27年 10月14日,  1.0,0.06,0.06,0.05,0.05,0.04,0.05,0.03
平成27年 10月7日,  0.5,0.07,0.07,0.06,0.06,0.05,0.04,0.02
平成27年 10月7日,  1.0,0.06,0.07,0.06,0.05,0.05,0.04,0.04
平成27年 10月1日,  0.5,0.06,0.07,0.06,0.05,0.05,0.03,0.05
平成27年 10月1日,  1.0,0.07,0.06,0.06,0.05,0.05,0.04,0.05
