種類,排出量（千t）,排出量（％）
建設汚泥,3686,29.6
その他の汚泥,699,5.6
がれき類,5865,47.1
ｶﾞﾗｽ陶磁器くず,818,6.6
木くず,343,2.8
廃プラスチック,303,2.4
混合廃棄物,300,2.4
金属くず,152,1.2
その他,282,2.3
合　計,12448,100.0
