"年度","資源受入量 びん・缶  [kg]","資源受入量 ペットボトル  [kg]","資源受入量 資源プラスチック  [kg]","資源引渡量 プラ資源 プラ製容器包装 [kg]","資源引渡量 プラ資源 製品プラスチック [kg]","資源引渡量 プラスチック資源 計 [kg]","資源引渡量 ペットボトル  [kg]","資源引渡量 びん リターナブル [kg]","資源引渡量 びん ワンウェイ 無色[kg]","資源引渡量 びん ワンウェイ 茶色[kg]","資源引渡量 びん ワンウェイ その他[kg]","資源引渡量 びん 計 [kg]","資源引渡量 缶 アルミ缶 [kg]","資源引渡量 缶 スチール缶 [kg]","資源引渡量 缶 計 [kg]","資源引渡量 古紙 新聞 [kg]","資源引渡量 古紙 雑誌 [kg]","資源引渡量 古紙 段ボール [kg]","資源引渡量 古紙 紙パック [kg]","資源引渡量 古紙 計 [kg]"
"2017","4286449","1155570","2527080","1598380","534260","2132640","1023980","77800","1186160","590100","1694310","3548370","340274","314800","655074","1045140","3627890","2408870","1160","7083060"
"2018","4219494","1217170","2611400","1423440","629280","2052720","1140330","69300","1153740","590390","1673660","3487090","341712","283630","625342","755890","3236830","2881650",,"6874370"
"2019","4307892","1255860","2650760","1564030","534530","2098560","1164420","68800","1143690","575360","1685320","3473170","328812","281530","610342","610810","3231540","3296760",,"7139110"
"2020","4667768","1358480","2844660","1617920","553900","2171820","1363610","71580","1283610","618260","2004640","3978090","397640","279510","677150","783100","2795980","4063470",,"7642550"
"2021","4501511","1366210","2705720","1597450","610090","2207540","1364050","70652","1183190","599520","1923490","3776852","412390","275730","688120","991120","2636520","4032290",,"7659930"

"令和4年度港区行政資料集　資源化施設取扱量","Ver202203",,,,,,,,,,,,,,,,,,,
