"年度","登録団体数","延べ利用者数[人]"
"2016","10","9205"
"2017","10","9249"
"2018","11","10318"
"2019","11","6817"
"2020","8","2213"

"令和3年度港区行政資料集　施設利用状況一覧 国際交流スペース","Ver202103",
