年度(平成),定員,応募者数,入校者数,修了者数,就職者数,就職率(%)
16前期,30,60,30,29,17,58.6
16後期,30,51,30,29,20,69.0
17前期,30,51,30,29,23,79.3
17後期,30,51,30,26,20,76.9
18前期,30,55,29,26,18,69.2
18後期,30,43,27,23,14,60.9
19前期,30,52,30,27,19,70.4
19後期,30,57,30,29,25,86.2
