,ネットワーク構築科(中央・城北ｾﾝﾀｰ),貿易実務科(中央・城北ｾﾝﾀｰ),医療事務科(中央・城北ｾﾝﾀｰ),医療事務科(八王子校),ビジネス経理科(中央・城北ｾﾝﾀｰ),経営管理実務科(多摩ｾﾝﾀｰ),経営管理実務科(多摩ｾﾝﾀｰ)
校紹介(件),13,5,1,14,2,9,10
校紹介（回答者割合）(%),46.4,21.7,4.5,66.7,7.1,39.1,52.6
ハローワーク(件),9,11,12,9,27,22,18
ハローワーク（回答者割合）(%),32.1,47.8,54.5,42.9,96.4,95.7,94.7
求人情報誌(件),6,5,12,4,5,4,1
求人情報誌（回答者割合）(%),21.4,21.7,54.5,19.0,17.9,17.4,5.3
その他(件),3,12,10,0,7,2,6
その他（回答者割合）(%),10.7,52.2,45.5,0.0,25.0,8.7,31.6
無回答(件),6,1,0,2,0,0,0
無回答（回答者割合）(%),21.4,4.3,0.0,9.5,0.0,0.0,0.0
