年度(平成),11年度（予算額）,12年度,13年度,14年度,15年度,対11年度削減額
都財政支出額(億円),2741,2121,2128,2102,2021,-
都財政支出額（対前年度削減額）(億円),-,-620,7,-26,-81,-720
都財政支出額（対11年度削減比）(%),-,-,-,-,-,-26
