,ネットワーク構築科(中央・城北ｾﾝﾀｰ),貿易実務科(中央・城北ｾﾝﾀｰ),医療事務科(中央・城北ｾﾝﾀｰ),医療事務科(八王子校),ビジネス経理科(中央・城北ｾﾝﾀｰ),経営管理実務科(多摩ｾﾝﾀｰ),経営管理実務科(多摩ｾﾝﾀｰ)
ハローワーク(件),16,14,17,18,25,20,15
ハローワーク（回答者割合）(%),57.1,60.9,77.3,85.7,89.3,87.0,78.9
広報とうきょう(件),1,0,1,4,1,1,1
広報とうきょう（回答者割合）(%),3.6,0.0,4.5,19.0,3.6,4.3,5.3
はたらくネット(件),6,2,2,3,0,3,1
はたらくネット（回答者割合）(%),21.4,8.7,9.1,14.3,0.0,13.0,5.3
その他(件),4,7,2,0,2,1,1
その他（回答者割合）(%),14.3,30.4,9.1,0.0,7.1,4.3,5.3
無回答(件),1,0,0,0,1,0,0
無回答（回答者割合）(%),3.6,0.0,0.0,0.0,3.6,0.0,0.0
