試験区,発芽期,開花期／始期,開花期／盛期,開花期／終期,自己摘心期,葉花比,葉果比／1次後,葉果比／2次後,生理落果割合(%)／1次,生理落果割合(%)／2次,生理落果割合(%)／合計
春開花,1/21,2/17,3/2,3/21,3/19,0.6,2.7,9.9,75.5,17.7,93.1
夏開花,4/14,4/27,5/13,6/20,6/20,7.0,40.5,65.7,67.3,10.2,77.5
秋開花,ND,9/30,10/14,10/30,ND,9.4,138.2,176,90.2,3.8,94.1
