,ネットワーク構築科(中央・城北ｾﾝﾀｰ),貿易実務科(中央・城北ｾﾝﾀｰ),医療事務科(中央・城北ｾﾝﾀｰ),医療事務科(八王子校),ビジネス経理科(中央・城北ｾﾝﾀｰ),経営管理実務科(多摩ｾﾝﾀｰ),経営管理実務科(多摩ｾﾝﾀｰ)
授業,3,3,2,1,2,2,5
授業（回答者割合）(%),10.7,13.0,9.1,4.8,7.1,8.7,26.3
就職支援,3,1,0,2,1,4,0
就職支援（回答者割合）(%),10.7,4.3,0.0,9.5,3.6,17.4,0.0
希望職種と無関係,5,3,3,1,6,1,2
希望職種と無関係（回答者割合）(%),17.9,13.0,13.6,4.8,21.4,4.3,10.5
求人紹介,1,6,7,4,6,6,1
求人紹介（回答者割合）(%),3.6,26.1,31.8,19.0,21.4,26.1,5.3
資格,0,3,3,0,1,3,4
資格（回答者割合）(%),0.0,13.0,13.6,0.0,3.6,13.0,21.1
その他,2,0,2,0,1,0,3
その他（回答者割合）(%),7.1,0.0,9.1,0.0,3.6,0.0,15.8
無回答,17,12,5,13,16,11,5
無回答（回答者割合）(%),60.7,52.2,22.7,61.9,57.1,47.8,26.3
