試験区,L／価格(円),L／割合(%),M／価格(円),M／割合(%),S／価格(円),S／割合(%),卵１個あたりの平均価格(円)
自家飽食,36,1.9,30,69.9,26,28.2,29.0
市販制限,36,2.4,30,62.5,26,35.2,28.8
市販飽食,36,40.9,30,57.2,26,1.9,32.4
