,建設業,製造業,卸・業,飲食・宿泊,運輸通信業,光熱水事業,サービス業,不動産業,その他,合計
父島,21,12,29,85,9,2,38,17,22,235
母島,5,2,4,18,2,1,1,0,4,37
計,26,14,33,103,11,3,39,17,26,272
