,2014-08-25,2014-09-25,2014-10-25,2014-11-25,2014-12-25,2015-01-25,2015-02-02
Ｋ系,58.1,62.7,70.3,75.4,78.2,79.4,79.6
Ｉ系,60.9,66.5,72.5,77.3,79.9,80.5,82.1
Ｏ系,61.5,68.4,75.5,81.6,83.3,84.2,85.4
Ｓ系,60.6,64.5,70.4,74.6,76.7,77.9,79.0
フロストバレンシア,55.5,60.3,65.0,69.2,69.9,70.2,70.6
