元号,明治,大正,大正,昭和,昭和,昭和,昭和
年（和暦）,41,9,14,5,10,15,20
西暦,1908,1920,1925,1930,1935,1940,1945
麹町区,56969,65692,56379,58711,60327,58521,17976
神田区,128593,151990,128529,129976,136906,128178,26436
日本橋区,110703,126415,105002,107645,113871,101777,22876
京橋区,124400,143397,120363,131888,147334,142269,53344
芝区,136256,179214,171590,175760,190776,191445,67116
麻布区,65876,88558,87906,86493,87857,89163,20697
赤坂区,51321,62232,61045,60234,58700,55704,8791
四谷区,41535,70217,74974,75021,76321,76440,11245
牛込区,89288,126282,129887,129132,130340,128888,20771
小石川区,94407,146507,152620,151493,147135,154655,43444
本郷区,94823,135573,135079,136749,141215,146146,49304
下谷区,125320,183186,172678,173977,190524,189191,59988
浅草区,185621,256410,232076,241695,273693,271063,24581
本所区,163909,256269,207142,235324,278194,273407,12753
深川区,119098,181259,160297,176815,214175,226754,14094
旧市域小計,1588119,2173201,1995567,2070913,2247368,2233601,453416
品川区,,112555,160191,179496,204262,231303,89782
目黒区,,22287,63019,108208,152187,198795,121333
荏原区,,8522,72256,132108,161863,188100,53708
大森区,,49908,94452,147335,201425,278985,160865
蒲田区,,28614,57553,98122,147516,252799,52135
世田谷区,,39952,87965,149323,210701,281804,276450
渋谷区,,137207,190774,213533,234850,256706,84067
淀橋区,,93899,134499,153502,169187,189152,51090
中野区,,29198,85294,134098,178383,214117,124011
杉並区,,18099,65981,134529,190217,245435,211229
豊島区,,109803,198075,236701,268015,312209,92192
滝野川区,,40689,82252,100746,114514,130705,36494
荒川区,,121412,218428,280616,326210,351281,84010
王子区,,54040,84611,126673,171047,220304,101807
板橋区,,53482,81476,113586,150868,233115,217974
足立区,,60780,89226,127507,174612,231246,172437
向島区,,64426,120462,155519,186698,206402,64842
城東区,,73065,113087,142971,171047,192400,11114
葛飾区,,27661,49415,84456,105682,153041,171557
江戸川区,,39386,64530,96971,129230,177304,146497
新市域小計,,1184985,2113546,2916000,3648514,4545203,2323594
合計,,3358186,4109113,4986913,5895882,6778804,2777010
