年度(平成),定員,応募者数,入校者数,修了者数,就職者数,就職率(%)
16前期,30,54,30,27,21,77.8
16後期,30,42,27,27,15,55.6
17前期,30,60,28,23,17,73.9
17後期,30,50,29,28,25,89.3
18前期,30,49,30,28,24,85.7
18後期,30,37,30,20,18,90.0
19前期,30,43,29,25,11,44.0
19後期,30,50,29,20,17,85.0
