年度(平成),定員,応募者数,入校者数,修了者数,就職者数,就職率(%)
16前期,40,175,40,39,37,94.9
16後期,40,129,40,38,34,89.5
17前期,40,145,40,38,36,94.7
17後期,40,99,38,36,31,86.1
18前期,40,118,40,31,31,100.0
18後期,40,67,40,35,31,88.6
19前期,40,94,40,33,31,93.9
19後期,40,70,40,22,18,81.8
