元号,大正,,大正,,昭和
年（和暦）,9,,14,,5
西暦,1920,,1925,,1930
荏原郡,253871,荏原郡,525741,荏原郡,798518
荏原郡／品川町,41059,荏原郡／品川町,53096,荏原郡／品川町,55639
荏原郡／大森町,19501,荏原郡／大森町,32014,荏原郡／大森町,46055
荏原郡／羽田町,14546,荏原郡／羽田町,17220,荏原郡／羽田町,21390
荏原郡／大井町,36659,荏原郡／大井町,58619,荏原郡／大井町,70080
荏原郡／大崎町,34837,荏原郡／大崎町,48476,荏原郡／大崎町,53777
荏原郡／入新井町,19088,荏原郡／入新井町,36585,荏原郡／入新井町,45209
荏原郡／蒲田村,6420,荏原郡／蒲田町,25616,荏原郡／蒲田町,44030
荏原郡／六郷村,4181,荏原郡／六郷村,6731,荏原郡／六郷町,14441
荏原郡／矢口村,3467,荏原郡／矢口村,7986,荏原郡／矢口町,18261
荏原郡／調布村,2970,荏原郡／調布村,5184,荏原郡／東調布町,12326
荏原郡／池上村,5624,荏原郡／池上村,10180,荏原郡／池上町,20720
荏原郡／馬込村,2725,荏原郡／馬込村,10489,荏原郡／馬込町,23025
荏原郡／平塚村,8522,荏原郡／平塚村,72256,荏原郡／荏原町,132108
荏原郡／目黒町,18094,荏原郡／目黒町,45268,荏原郡／目黒町,67236
荏原郡／碑衾村,4193,荏原郡／碑衾村,17751,荏原郡／碑衾町,40972
荏原郡／駒沢村,8684,荏原郡／駒沢村,20991,荏原郡／駒沢町,31043
荏原郡／世田ヶ谷村,13054,荏原郡／世田ヶ谷町,38068,荏原郡／世田ヶ谷町,73110
荏原郡／玉川村,7591,荏原郡／玉川村,11974,荏原郡／玉川村,16759
荏原郡／松沢村,2656,荏原郡／松沢村,7237,荏原郡／松沢村,12337
豊多摩郡,278403,豊多摩郡,476548,豊多摩郡,635662
豊多摩郡／淀橋町,40453,豊多摩郡／淀橋町,52215,豊多摩郡／淀橋町,57313
豊多摩郡／中野町,21875,豊多摩郡／中野町,60962,豊多摩郡／中野町,87263
豊多摩郡／千駄ヶ谷町,36374,豊多摩郡／千駄ヶ谷町,39997,豊多摩郡／千駄ヶ谷町,40900
豊多摩郡／渋谷町,80799,豊多摩郡／渋谷町,99022,豊多摩郡／渋谷町,102056
豊多摩郡／大久保町,27949,豊多摩郡／大久保町,32644,豊多摩郡／大久保町,33815
豊多摩郡／戸塚町,18387,豊多摩郡／戸塚町,29295,豊多摩郡／戸塚町,31781
豊多摩郡／落合村,7110,豊多摩郡／落合町,20345,豊多摩郡／落合町,30593
豊多摩郡／代々幡町,20034,豊多摩郡／代々幡町,51755,豊多摩郡／代々幡町,70577
豊多摩郡／野方村,7323,豊多摩郡／野方町,24332,豊多摩郡／野方町,46835
豊多摩郡／和田堀内村,3907,豊多摩郡／和田堀内村,11663,豊多摩郡／和田堀町,19194
豊多摩郡／杉並村,5632,豊多摩郡／杉並町,36608,豊多摩郡／杉並町,79193
豊多摩郡／井萩村,4369,豊多摩郡／井萩村,10864,豊多摩郡／井萩町,22724
豊多摩郡／高井戸村,4191,豊多摩郡／高井戸村,6846,豊多摩郡／高井戸町,13418
北豊島郡,379426,北豊島郡,664842,北豊島郡,858322
北豊島郡／板橋町,16661,北豊島郡／板橋町,30891,北豊島郡／板橋町,44717
北豊島郡／南千住町,50713,北豊島郡／南千住町,54755,北豊島郡／南千住町,56010
北豊島郡／岩淵町,15672,北豊島郡／岩淵町,24525,北豊島郡／岩淵町,37664
北豊島郡／巣鴨町,28035,北豊島郡／巣鴨町,40148,北豊島郡／巣鴨町,43239
北豊島郡／王子町,38368,北豊島郡／王子町,60086,北豊島郡／王子町,89009
北豊島郡／滝野川町,40689,北豊島郡／滝野川町,82252,北豊島郡／滝野川町,100746
北豊島郡／日暮里町,41551,北豊島郡／日暮里町,56928,北豊島郡／日暮里町,71021
北豊島郡／中新井村,2007,北豊島郡／中新井村,4116,北豊島郡／中新井村,7311
北豊島郡／志村,6174,北豊島郡／志村,8548,北豊島郡／志村,12151
北豊島郡／高田町,26786,北豊島郡／高田町,45147,北豊島郡／高田町,48542
北豊島郡／上練馬村,4642,北豊島郡／上練馬村,5160,北豊島郡／上練馬村,6159
北豊島郡／赤塚村,5365,北豊島郡／赤塚村,6267,北豊島郡／赤塚村,6758
北豊島郡／石神井村,6035,北豊島郡／石神井村,7639,北豊島郡／石神井村,9839
北豊島郡／三河島町,21623,北豊島郡／三河島町,59252,北豊島郡／三河島町,80217
北豊島郡／尾久村,7525,北豊島郡／尾久町,47493,北豊島郡／尾久町,73368
北豊島郡／西巣鴨町,51478,北豊島郡／西巣鴨町,98950,北豊島郡／西巣鴨町,115654
北豊島郡／上板橋村,3415,北豊島郡／上板橋村,5040,北豊島郡／上板橋村,8454
北豊島郡／下練馬村,5391,北豊島郡／下練馬村,9578,北豊島郡／練馬町,13145
北豊島郡／長崎村,3504,北豊島郡／長崎村,13830,北豊島郡／長崎町,29266
北豊島郡／大泉村,3792,北豊島郡／大泉村,4237,北豊島郡／大泉村,5052
南足立郡,60780,南足立郡,89226,南足立郡,127507
南足立郡／千住町,31047,南足立郡／千住町,52101,南足立郡／千住町,69085
南足立郡／西新井村,5189,南足立郡／西新井村,9416,南足立郡／西新井町,20077
南足立郡／江北村,4690,南足立郡／江北村,4667,南足立郡／江北村,5534
南足立郡／舎人村,1920,南足立郡／舎人村,1948,南足立郡／舎人村,1957
南足立郡／淵江村,2880,南足立郡／淵江村,3228,南足立郡／淵江村,3277
南足立郡／梅島村,3879,南足立郡／梅島村,5621,南足立郡／梅島町,12748
南足立郡／綾瀬村,2799,南足立郡／綾瀬村,3372,南足立郡／綾瀬村,5673
南足立郡／東淵江村,2916,南足立郡／東淵江村,3168,南足立郡／東淵江村,3105
南足立郡／花畑村,4070,南足立郡／花畑村,4152,南足立郡／花畑村,4363
南足立郡／伊興村,1390,南足立郡／伊興村,1553,南足立郡／伊興村,1688
南葛飾郡,204538,南葛飾郡,347494,南葛飾郡,479917
