,台農,サマー,ルビー,台農１号,サマークイーン,ルビースター
６月下旬,15,5.5,16,1075.4,338.1,1075.8
７月上旬,28.5,16,41.5,2246.95,1014.9,3346.25
７月中旬,53.5,22,76.5,4314.9,1372.65,6406.35
７月下旬,54.5,27.5,90,4300.75,1333.3,6951.35
８月上旬,52.5,10,42.5,4320.6,497.75,3132
８月中旬,24,23.5,65,1831.15,1208.85,4898.05
８月下旬,0.5,12.5,11.5,17.1,523,809.1
合計,228.5,117,343,18106.85,6288.55,26618.9
