,ネットワーク構築科(中央・城北ｾﾝﾀｰ),貿易実務科(中央・城北ｾﾝﾀｰ),医療事務科(中央・城北ｾﾝﾀｰ),医療事務科(八王子校),ビジネス経理科(中央・城北ｾﾝﾀｰ),経営管理実務科(多摩ｾﾝﾀｰ),経営管理実務科(多摩ｾﾝﾀｰ)
関連している(件),19,17,14,19,19,14,10
関連している（回答者割合）(%),67.9,73.9,63.6,90.5,67.9,60.9,52.6
関連していない(件),1,3,5,0,3,2,5
関連していない（回答者割合）(%),3.6,13.0,22.7,0.0,10.7,8.7,26.3
未定(件),6,3,3,0,5,4,3
未定（回答者割合）(%),21.4,13.0,13.6,0.0,17.9,17.4,15.8
無回答(件),2,0,0,2,2,4,1
無回答（回答者割合）(%),7.1,0.0,0.0,9.5,7.1,17.4,5.3
