,計,都派遣,都ＯＢ,固有,国ＯＢ,民間
職員(人),9547,4585,781,3507,32,642
職員／管理職(人),904,416,137,245,16,90
職員／一般職(人),8643,4169,644,3262,16,552
職員／管理職比率(%),9.5,9.1,17.5,7.0,50.0,14.0
